Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
EVOLUTIONARY ANTHROPOLOGY,EVOL ANTHROPOL,WILEY,1060-1538,1520-6505,ANTHROPOLOGY,SSCI,"2,273",4.6,Q1,1.66,21.74%
JOURNAL OF PEASANT STUDIES,J PEASANT STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0306-6150,1743-9361,ANTHROPOLOGY,SSCI,"5,769",4.4,Q1,2.36,35.74%
JOURNAL OF ARCHAEOLOGICAL RESEARCH,J ARCHAEOL RES,SPRINGER,1059-0161,1573-7756,ANTHROPOLOGY,SSCI,"1,058",4.2,Q1,3.2,38.10%
JOURNAL OF WORLD PREHISTORY,J WORLD PREHIST,SPRINGER,0892-7537,1573-7802,ANTHROPOLOGY,SSCI,856,3.8,Q1,2.41,67.86%
JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY,J ARCHAEOL METHOD TH,SPRINGER,1072-5369,1573-7764,ANTHROPOLOGY,SSCI,"2,179",3.2,Q1,2.06,48.53%
JOURNAL OF HUMAN EVOLUTION,J HUM EVOL,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0047-2484,1095-8606,ANTHROPOLOGY,SSCI,"8,652",3.1,Q1,1.56,38.02%
SOCIAL NETWORKS,SOC NETWORKS,ELSEVIER,0378-8733,1879-2111,ANTHROPOLOGY,SSCI,"6,795",2.9,Q1,1.89,41.67%
JOURNAL OF ETHNOBIOLOGY,J ETHNOBIOL,SAGE PUBLICATIONS INC,0278-0771,2162-4496,ANTHROPOLOGY,SSCI,901,2.9,Q1,1.12,2.25%
Annual Review of Anthropology,ANNU REV ANTHROPOL,ANNUAL REVIEWS,0084-6570,1545-4290,ANTHROPOLOGY,SSCI,"6,149",2.8,Q1,1.85,33.73%
AMERICAN ANTIQUITY,AM ANTIQUITY,CAMBRIDGE UNIV PRESS,0002-7316,2325-5064,ANTHROPOLOGY,SSCI,"3,874",2.7,Q1,2.11,53.10%
JOURNAL OF ARCHAEOLOGICAL SCIENCE,J ARCHAEOL SCI,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0305-4403,1095-9238,ANTHROPOLOGY,SSCI,"15,390",2.6,Q1,1.71,43.01%
AMERICAN ANTHROPOLOGIST,AM ANTHROPOL,WILEY,0002-7294,1548-1433,ANTHROPOLOGY,SSCI,"5,968",2.6,Q1,1.42,27.92%
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,AM J PHYS ANTHROPOL,WILEY,0002-9483,1096-8644,ANTHROPOLOGY,SSCI,"11,956",2.6,Q1,1.07,10.92%
GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS,GLOBAL NETW,WILEY,1470-2266,1471-0374,ANTHROPOLOGY,SSCI,"2,176",2.5,Q1,1.31,41.78%
Transcultural Psychiatry,TRANSCULT PSYCHIATRY,SAGE PUBLICATIONS LTD,1363-4615,1461-7471,ANTHROPOLOGY,SSCI,"2,294",2.5,Q1,0.96,21.91%
HUMAN NATURE-AN INTERDISCIPLINARY BIOSOCIAL PERSPECTIVE,HUM NATURE-INT BIOS,SPRINGER,1045-6767,1936-4776,ANTHROPOLOGY,SSCI,"1,845",2.2,Q1,1.16,36.14%
Evolutionary Human Sciences,EVOL HUM SCI,CAMBRIDGE UNIV PRESS,N/A,2513-843X,ANTHROPOLOGY,ESCI,408,2.2,Q1,0.85,100%
CURRENT ANTHROPOLOGY,CURR ANTHROPOL,UNIV CHICAGO PRESS,0011-3204,1537-5382,ANTHROPOLOGY,SSCI,"7,088",2.1,Q1,1.56,6.04%
Archaeological and Anthropological Sciences,ARCHAEOL ANTHROP SCI,SPRINGER HEIDELBERG,1866-9557,1866-9565,ANTHROPOLOGY,SSCI,"3,586",2.1,Q1,1.33,44.89%
JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY,J ANTHROPOL ARCHAEOL,ACADEMIC PRESS INC ELSEVIER SCIENCE,0278-4165,1090-2686,ANTHROPOLOGY,SSCI,"2,868",2,Q1,1.47,28.05%
African Archaeological Review,AFR ARCHAEOL REV,SPRINGER,0263-0338,1572-9842,ANTHROPOLOGY,SSCI,811,2,Q1,1.11,48.24%
MEDICAL ANTHROPOLOGY QUARTERLY,MED ANTHROPOL Q,WILEY,0745-5194,1548-1387,ANTHROPOLOGY,SSCI,"1,536",2,Q1,0.96,31.17%
CULTURAL ANTHROPOLOGY,CULT ANTHROPOL,SOC CULTURAL ANTHROPOLOGY,0886-7356,1548-1360,ANTHROPOLOGY,SSCI,"3,463",1.9,Q1,1.58,97.92%
ANTIQUITY,ANTIQUITY,CAMBRIDGE UNIV PRESS,0003-598X,1745-1744,ANTHROPOLOGY,SSCI,"4,272",1.9,Q1,1.34,58.81%
AMERICAN ETHNOLOGIST,AM ETHNOL,WILEY,0094-0496,1548-1425,ANTHROPOLOGY,SSCI,"3,920",1.9,Q1,1.13,42.86%
RACE & CLASS,RACE CLASS,SAGE PUBLICATIONS LTD,0306-3968,1741-3125,ANTHROPOLOGY,SSCI,"1,044",1.9,Q1,0.86,31.15%
Journal of Paleolithic Archaeology,J PALEOLITH ARCHAEOL,SPRINGERNATURE,N/A,2520-8217,ANTHROPOLOGY,ESCI,273,1.8,Q1,1.85,49.41%
Journal of Linguistic Anthropology,J LINGUIST ANTHROPOL,WILEY,1055-1360,1548-1395,ANTHROPOLOGY,SSCI,"1,127",1.8,Q1,1.15,20.55%
HUMAN ECOLOGY,HUM ECOL,SPRINGER/PLENUM PUBLISHERS,0300-7839,1572-9915,ANTHROPOLOGY,SSCI,"3,224",1.8,Q1,0.83,35.24%
American Journal of Biological Anthropology,AM J BIOL ANTHROPOL,WILEY,2692-7691,2692-7691,ANTHROPOLOGY,SSCI,431,1.7,Q1,0.95,35.76%
PaleoAmerica,PALEOAMERICA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2055-5563,2055-5571,ANTHROPOLOGY,ESCI,291,1.6,Q1,1.17,1.32%
CULTURAL STUDIES,CULT STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0950-2386,1466-4348,ANTHROPOLOGY,SSCI,"2,772",1.6,Q1,1.12,15.34%
JOURNAL OF SOCIAL ARCHAEOLOGY,J SOC ARCHAEOL,SAGE PUBLICATIONS LTD,1469-6053,1741-2951,ANTHROPOLOGY,SSCI,452,1.6,Q1,0.98,27.08%
Transforming Anthropology,TRANSFORM ANTHROPOL,WILEY,1051-0559,1548-7466,ANTHROPOLOGY,ESCI,302,1.6,Q1,0.98,6.90%
AMERICAN JOURNAL OF HUMAN BIOLOGY,AM J HUM BIOL,WILEY,1042-0533,1520-6300,ANTHROPOLOGY,SSCI,"4,006",1.6,Q1,0.84,19.33%
Journal of Anthropological Sciences,J ANTHROPOL SCI,IST ITALIANO ANTROPOLOGIA,1827-4765,2037-0644,ANTHROPOLOGY,SSCI,327,1.6,Q1,0.65,0%
Lithic Technology,LITHIC TECHNOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0197-7261,2051-6185,ANTHROPOLOGY,SSCI,465,1.5,Q2,1.19,13.04%
CRITIQUE OF ANTHROPOLOGY,CRIT ANTHROPOL,SAGE PUBLICATIONS LTD,0308-275X,1460-3721,ANTHROPOLOGY,SSCI,811,1.5,Q2,1.17,50.68%
Medical Anthropology,MED ANTHROPOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0145-9740,1545-5882,ANTHROPOLOGY,SSCI,"1,397",1.5,Q2,0.85,41.14%
