Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
JOURNAL OF ARCHAEOLOGICAL RESEARCH,J ARCHAEOL RES,SPRINGER,1059-0161,1573-7756,ARCHAEOLOGY,AHCI,"1,058",4.2,N/A,3.2,38.10%
JOURNAL OF WORLD PREHISTORY,J WORLD PREHIST,SPRINGER,0892-7537,1573-7802,ARCHAEOLOGY,AHCI,856,3.8,N/A,2.41,67.86%
JOURNAL OF CULTURAL HERITAGE,J CULT HERIT,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,1296-2074,1778-3674,ARCHAEOLOGY,AHCI,"6,530",3.5,N/A,2.26,30.65%
JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY,J ARCHAEOL METHOD TH,SPRINGER,1072-5369,1573-7764,ARCHAEOLOGY,AHCI,"2,179",3.2,N/A,2.06,48.53%
Science and Technology of Archaeological Research,SCI TECHNOL ARCHAEOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2054-8923,2054-8923,ARCHAEOLOGY,ESCI,246,2.8,N/A,1.52,100%
AMERICAN ANTIQUITY,AM ANTIQUITY,CAMBRIDGE UNIV PRESS,0002-7316,2325-5064,ARCHAEOLOGY,AHCI,"3,874",2.7,N/A,2.11,53.10%
JOURNAL OF ARCHAEOLOGICAL SCIENCE,J ARCHAEOL SCI,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0305-4403,1095-9238,ARCHAEOLOGY,AHCI,"15,390",2.6,N/A,1.71,43.01%
Archaeological and Anthropological Sciences,ARCHAEOL ANTHROP SCI,SPRINGER HEIDELBERG,1866-9557,1866-9565,ARCHAEOLOGY,AHCI,"3,586",2.1,N/A,1.33,44.89%
Archaeological Prospection,ARCHAEOL PROSPECT,WILEY,1075-2196,1099-0763,ARCHAEOLOGY,AHCI,889,2.1,N/A,1.08,48.08%
JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY,J ANTHROPOL ARCHAEOL,ACADEMIC PRESS INC ELSEVIER SCIENCE,0278-4165,1090-2686,ARCHAEOLOGY,AHCI,"2,868",2,N/A,1.47,28.05%
African Archaeological Review,AFR ARCHAEOL REV,SPRINGER,0263-0338,1572-9842,ARCHAEOLOGY,AHCI,811,2,N/A,1.11,48.24%
Advances in Archaeological Practice,ADV ARCHAEOL PRACT,CAMBRIDGE UNIV PRESS,2326-3768,2326-3768,ARCHAEOLOGY,AHCI,702,1.9,N/A,1.38,61.67%
ANTIQUITY,ANTIQUITY,CAMBRIDGE UNIV PRESS,0003-598X,1745-1744,ARCHAEOLOGY,AHCI,"4,272",1.9,N/A,1.34,58.81%
Journal of Paleolithic Archaeology,J PALEOLITH ARCHAEOL,SPRINGERNATURE,N/A,2520-8217,ARCHAEOLOGY,ESCI,273,1.8,N/A,1.85,49.41%
Ethnoarchaeology,ETHNOARCHAEOLOGY,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1944-2904,1944-2890,ARCHAEOLOGY,ESCI,126,1.8,N/A,1.68,20.83%
WORLD ARCHAEOLOGY,WORLD ARCHAEOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0043-8243,1470-1375,ARCHAEOLOGY,AHCI,"2,597",1.8,N/A,1.56,36.11%
Journal of Mediterranean Archaeology,J MEDITERR ARCHAEOL,EQUINOX PUBLISHING LTD,0952-7648,N/A,ARCHAEOLOGY,AHCI,327,1.7,N/A,0.97,0%
Virtual Archaeology Review,VIRTUAL ARCHAEOL REV,"UNIV POLITECNICA VALENCIA, EDITORIAL UPV",1989-9947,1989-9947,ARCHAEOLOGY,ESCI,301,1.6,N/A,1.91,98%
CAMBRIDGE ARCHAEOLOGICAL JOURNAL,CAMB ARCHAEOL J,CAMBRIDGE UNIV PRESS,0959-7743,1474-0540,ARCHAEOLOGY,AHCI,"1,206",1.6,N/A,1.42,56.34%
PaleoAmerica,PALEOAMERICA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2055-5563,2055-5571,ARCHAEOLOGY,ESCI,291,1.6,N/A,1.17,1.32%
