Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,CELL PRESS,1364-6613,1879-307X,BEHAVIORAL SCIENCES,SCIE,"32,732",16.7,Q1,2.06,43.06%
BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,CAMBRIDGE UNIV PRESS,0140-525X,1469-1825,BEHAVIORAL SCIENCES,SCIE,"11,517",16.6,Q1,5.44,0%
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,NEUROSCI BIOBEHAV R,PERGAMON-ELSEVIER SCIENCE LTD,0149-7634,1873-7528,BEHAVIORAL SCIENCES,SCIE,"40,527",7.5,Q1,1.49,40.56%
Autism Research,AUTISM RES,WILEY,1939-3792,1939-3806,BEHAVIORAL SCIENCES,SCIE,"7,746",5.3,Q1,1.42,29.61%
Current Opinion in Behavioral Sciences,CURR OPIN BEHAV SCI,ELSEVIER,2352-1546,2352-1554,BEHAVIORAL SCIENCES,SCIE,"5,707",4.9,Q1,1.36,42.20%
Behavioral and Brain Functions,BEHAV BRAIN FUNCT,BMC,N/A,1744-9081,BEHAVIORAL SCIENCES,SCIE,"1,588",4.7,Q1,1.16,100%
APPETITE,APPETITE,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0195-6663,1095-8304,BEHAVIORAL SCIENCES,SCIE,"24,413",4.6,Q1,1.42,36.15%
PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,PHARMACOL BIOCHEM BE,PERGAMON-ELSEVIER SCIENCE LTD,0091-3057,1873-5177,BEHAVIORAL SCIENCES,SCIE,"10,449",3.3,Q1,0.88,27.19%
CORTEX,CORTEX,"ELSEVIER MASSON, CORP OFF",0010-9452,1973-8102,BEHAVIORAL SCIENCES,SCIE,"12,724",3.2,Q1,1.02,44.48%
EVOLUTION AND HUMAN BEHAVIOR,EVOL HUM BEHAV,ELSEVIER SCIENCE INC,1090-5138,1879-0607,BEHAVIORAL SCIENCES,SCIE,"4,846",3,Q1,1.39,28.05%
HUMAN FACTORS,HUM FACTORS,SAGE PUBLICATIONS INC,0018-7208,1547-8181,BEHAVIORAL SCIENCES,SCIE,"8,636",2.9,Q1,0.88,22.22%
CHEMICAL SENSES,CHEM SENSES,OXFORD UNIV PRESS,0379-864X,1464-3553,BEHAVIORAL SCIENCES,SCIE,"5,000",2.8,Q1,0.9,21.05%
BIOLOGICAL PSYCHOLOGY,BIOL PSYCHOL,ELSEVIER,0301-0511,1873-6246,BEHAVIORAL SCIENCES,SCIE,"10,014",2.7,Q1,0.93,30.67%
AGGRESSIVE BEHAVIOR,AGGRESSIVE BEHAV,WILEY,0096-140X,1098-2337,BEHAVIORAL SCIENCES,SCIE,"3,673",2.7,Q1,0.92,29.11%
BEHAVIOR GENETICS,BEHAV GENET,SPRINGER,0001-8244,1573-3297,BEHAVIORAL SCIENCES,SCIE,"2,603",2.6,Q2,0.81,33.33%
BEHAVIOURAL BRAIN RESEARCH,BEHAV BRAIN RES,ELSEVIER,0166-4328,1872-7549,BEHAVIORAL SCIENCES,SCIE,"25,612",2.6,Q2,0.81,20.23%
Brain and Behavior,BRAIN BEHAV,WILEY,2162-3279,2162-3279,BEHAVIORAL SCIENCES,SCIE,"7,592",2.6,Q2,0.81,71.01%
Frontiers in Behavioral Neuroscience,FRONT BEHAV NEUROSCI,FRONTIERS MEDIA SA,1662-5153,N/A,BEHAVIORAL SCIENCES,SCIE,"10,498",2.6,Q2,0.72,99.62%
Frontiers in Integrative Neuroscience,FRONT INTEGR NEUROSC,FRONTIERS MEDIA SA,1662-5145,1662-5145,BEHAVIORAL SCIENCES,SCIE,"3,154",2.6,Q2,0.71,99.17%
STRESS-THE INTERNATIONAL JOURNAL ON THE BIOLOGY OF STRESS,STRESS,TAYLOR & FRANCIS LTD,1025-3890,1607-8888,BEHAVIORAL SCIENCES,SCIE,"3,411",2.6,Q2,0.63,60.47%
BEHAVIORAL ECOLOGY,BEHAV ECOL,OXFORD UNIV PRESS INC,1045-2249,1465-7279,BEHAVIORAL SCIENCES,SCIE,"9,326",2.5,Q2,0.94,26.65%
Hormones and Behavior,HORM BEHAV,ACADEMIC PRESS INC ELSEVIER SCIENCE,0018-506X,1095-6867,BEHAVIORAL SCIENCES,SCIE,"9,087",2.5,Q2,0.9,36.92%
COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE,COGN AFFECT BEHAV NE,SPRINGER,1530-7026,1531-135X,BEHAVIORAL SCIENCES,SCIE,"4,606",2.5,Q2,0.77,39.64%
PHYSIOLOGY & BEHAVIOR,PHYSIOL BEHAV,PERGAMON-ELSEVIER SCIENCE LTD,0031-9384,1873-507X,BEHAVIORAL SCIENCES,SCIE,"21,617",2.4,Q2,0.83,26.95%
GENES BRAIN AND BEHAVIOR,GENES BRAIN BEHAV,WILEY,1601-1848,1601-183X,BEHAVIORAL SCIENCES,SCIE,"3,519",2.4,Q2,0.79,66.41%
ANIMAL BEHAVIOUR,ANIM BEHAV,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0003-3472,1095-8282,BEHAVIORAL SCIENCES,SCIE,"23,405",2.3,Q2,1.14,41.14%
EPILEPSY & BEHAVIOR,EPILEPSY BEHAV,ACADEMIC PRESS INC ELSEVIER SCIENCE,1525-5050,1525-5069,BEHAVIORAL SCIENCES,SCIE,"15,015",2.3,Q2,0.74,17.73%
APPLIED ANIMAL BEHAVIOUR SCIENCE,APPL ANIM BEHAV SCI,ELSEVIER,0168-1591,1872-9045,BEHAVIORAL SCIENCES,SCIE,"12,263",2.2,Q3,1.06,38.39%
NEUROBIOLOGY OF LEARNING AND MEMORY,NEUROBIOL LEARN MEM,ACADEMIC PRESS INC ELSEVIER SCIENCE,1074-7427,1095-9564,BEHAVIORAL SCIENCES,SCIE,"6,390",2.2,Q3,0.76,29.55%
BRAIN BEHAVIOR AND EVOLUTION,BRAIN BEHAV EVOLUT,KARGER,0006-8977,1421-9743,BEHAVIORAL SCIENCES,SCIE,"2,009",2.1,Q3,0.63,32.89%
Neuropsychologia,NEUROPSYCHOLOGIA,PERGAMON-ELSEVIER SCIENCE LTD,0028-3932,1873-3514,BEHAVIORAL SCIENCES,SCIE,"22,115",2,Q3,0.75,34.68%
BEHAVIORAL MEDICINE,BEHAV MED,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0896-4289,1940-4026,BEHAVIORAL SCIENCES,SCIE,"1,497",2,Q3,0.72,7.08%
ANIMAL COGNITION,ANIM COGN,SPRINGER HEIDELBERG,1435-9448,1435-9456,BEHAVIORAL SCIENCES,SCIE,"3,745",1.9,Q3,1,41.34%
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,BEHAV ECOL SOCIOBIOL,SPRINGER,0340-5443,1432-0762,BEHAVIORAL SCIENCES,SCIE,"11,464",1.9,Q3,0.89,37.88%
JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,J COMP PHYSIOL A,SPRINGER HEIDELBERG,0340-7594,1432-1351,BEHAVIORAL SCIENCES,SCIE,"4,646",1.9,Q3,0.7,45.73%
