Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
GLOBAL CHANGE BIOLOGY,GLOBAL CHANGE BIOL,WILEY,1354-1013,1365-2486,BIODIVERSITY CONSERVATION,SCIE,"68,820",10.8,Q1,2.5,39.19%
Conservation Letters,CONSERV LETT,WILEY,1755-263X,1755-263X,BIODIVERSITY CONSERVATION,SCIE,"6,064",7.7,Q1,1.9,82.17%
ECOGRAPHY,ECOGRAPHY,WILEY,0906-7590,1600-0587,BIODIVERSITY CONSERVATION,SCIE,"16,934",5.4,Q1,1.36,78.80%
CONSERVATION BIOLOGY,CONSERV BIOL,WILEY,0888-8892,1523-1739,BIODIVERSITY CONSERVATION,SCIE,"22,083",5.2,Q1,1.33,50.72%
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,B AM MUS NAT HIST,AMER MUSEUM NATURAL HISTORY,0003-0090,1937-3546,BIODIVERSITY CONSERVATION,SCIE,"2,560",5.1,Q1,1.03,0%
JOURNAL OF APPLIED ECOLOGY,J APPL ECOL,WILEY,0021-8901,1365-2664,BIODIVERSITY CONSERVATION,SCIE,"25,150",5,Q1,1.33,46.06%
BIOLOGICAL CONSERVATION,BIOL CONSERV,ELSEVIER SCI LTD,0006-3207,1873-2917,BIODIVERSITY CONSERVATION,SCIE,"38,523",4.9,Q1,1.32,43.46%
DIVERSITY AND DISTRIBUTIONS,DIVERS DISTRIB,WILEY,1366-9516,1472-4642,BIODIVERSITY CONSERVATION,SCIE,"11,735",4.6,Q1,1.28,74.79%
People and Nature,PEOPLE NAT,WILEY,N/A,2575-8314,BIODIVERSITY CONSERVATION,SCIE,"2,265",4.2,Q1,1.39,81.40%
Perspectives in Ecology and Conservation,PERSPECT ECOL CONSER,ELSEVIER SCI LTD,2530-0644,2530-0644,BIODIVERSITY CONSERVATION,SCIE,"1,205",4,Q1,1.11,95%
NeoBiota,NEOBIOTA,PENSOFT PUBLISHERS,1619-0033,1314-2488,BIODIVERSITY CONSERVATION,SCIE,"1,608",3.8,Q1,1.16,97.79%
Plants People Planet,PLANTS PEOPLE PLANET,WILEY,N/A,2572-2611,BIODIVERSITY CONSERVATION,SCIE,"1,335",3.7,Q1,1.05,91.29%
Global Ecology and Conservation,GLOB ECOL CONSERV,ELSEVIER,N/A,2351-9894,BIODIVERSITY CONSERVATION,SCIE,"9,842",3.5,Q1,1.03,96.24%
Ecosystems and People,ECOSYST PEOPLE,TAYLOR & FRANCIS LTD,N/A,2639-5916,BIODIVERSITY CONSERVATION,ESCI,709,3.5,Q1,0.97,98.53%
BIODIVERSITY AND CONSERVATION,BIODIVERS CONSERV,SPRINGER,0960-3115,1572-9710,BIODIVERSITY CONSERVATION,SCIE,"13,592",3,Q1,0.71,41.36%
Journal of Ethnobiology and Ethnomedicine,J ETHNOBIOL ETHNOMED,BMC,N/A,1746-4269,BIODIVERSITY CONSERVATION,SCIE,"3,857",2.9,Q1,0.89,99.51%
ANIMAL CONSERVATION,ANIM CONSERV,WILEY,1367-9430,1469-1795,BIODIVERSITY CONSERVATION,SCIE,"4,209",2.8,Q1,0.83,36.49%
BIOLOGICAL INVASIONS,BIOL INVASIONS,SPRINGER,1387-3547,1573-1464,BIODIVERSITY CONSERVATION,SCIE,"12,730",2.8,Q1,0.8,31.09%
Conservation Science and Practice,CONSERV SCI PRACT,WILEY,N/A,2578-4854,BIODIVERSITY CONSERVATION,SCIE,"2,596",2.8,Q1,0.8,79.54%
