Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
Physics of Life Reviews,PHYS LIFE REV,ELSEVIER,1571-0645,1873-1457,BIOLOGY,SCIE,"2,213",13.7,Q1,1.97,39.13%
BIOLOGICAL REVIEWS,BIOL REV,WILEY,1464-7931,1469-185X,BIOLOGY,SCIE,"19,544",11,Q1,2.93,47.09%
CURRENT BIOLOGY,CURR BIOL,CELL PRESS,0960-9822,1879-0445,BIOLOGY,SCIE,"76,536",8.1,Q1,1.58,82.44%
Science China-Life Sciences,SCI CHINA LIFE SCI,SCIENCE PRESS,1674-7305,1869-1889,BIOLOGY,SCIE,"7,888",8,Q1,1.87,2.36%
PLOS BIOLOGY,PLOS BIOL,PUBLIC LIBRARY SCIENCE,1544-9173,1545-7885,BIOLOGY,SCIE,"38,680",7.8,Q1,2.03,97.03%
BIOSCIENCE,BIOSCIENCE,OXFORD UNIV PRESS,0006-3568,1525-3244,BIOLOGY,SCIE,"20,370",7.6,Q1,2.17,43.04%
COMPUTERS IN BIOLOGY AND MEDICINE,COMPUT BIOL MED,PERGAMON-ELSEVIER SCIENCE LTD,0010-4825,1879-0534,BIOLOGY,SCIE,"26,685",7,Q1,1.8,19.90%
eLife,ELIFE,eLIFE SCIENCES PUBL LTD,2050-084X,2050-084X,BIOLOGY,SCIE,"96,957",6.4,Q1,1.88,99.60%
Current Opinion in Insect Science,CURR OPIN INSECT SCI,ELSEVIER,2214-5745,2214-5753,BIOLOGY,SCIE,"5,100",5.8,Q1,1.91,38.97%
BioScience Trends,BIOSCI TRENDS,IRCA-BSSA,1881-7815,1881-7823,BIOLOGY,SCIE,"2,027",5.7,Q1,1.39,98%
Biology Direct,BIOL DIRECT,BMC,N/A,1745-6150,BIOLOGY,SCIE,"2,327",5.7,Q1,1.28,98.65%
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,PHILOS T R SOC B,ROYAL SOC,0962-8436,1471-2970,BIOLOGY,SCIE,"53,916",5.4,Q1,1.45,49.68%
Communications Biology,COMMUN BIOL,NATURE PORTFOLIO,N/A,2399-3642,BIOLOGY,SCIE,"23,626",5.2,Q1,1.5,99.79%
BIOELECTROCHEMISTRY,BIOELECTROCHEMISTRY,ELSEVIER SCIENCE SA,1567-5394,1878-562X,BIOLOGY,SCIE,"7,313",4.8,Q1,1.16,19.21%
BMC BIOLOGY,BMC BIOL,BMC,N/A,1741-7007,BIOLOGY,SCIE,"10,597",4.4,Q1,1.34,99.88%
FASEB JOURNAL,FASEB J,WILEY,0892-6638,1530-6860,BIOLOGY,SCIE,"50,666",4.4,Q1,0.9,30.82%
BIOLOGICAL RESEARCH,BIOL RES,SOC BIOLGIA CHILE,0716-9760,0717-6287,BIOLOGY,SCIE,"3,285",4.3,Q1,1.31,99.30%
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,P ROY SOC B-BIOL SCI,ROYAL SOC,0962-8452,1471-2954,BIOLOGY,SCIE,"56,545",3.8,Q1,1.13,54.45%
EXCLI Journal,EXCLI J,EXCLI JOURNAL MANAGING OFFICE,1611-2156,1611-2156,BIOLOGY,SCIE,"3,320",3.8,Q1,0.82,0%
QUARTERLY REVIEW OF BIOLOGY,Q REV BIOL,UNIV CHICAGO PRESS,0033-5770,1539-7718,BIOLOGY,SCIE,"4,087",3.7,Q1,0.73,26.67%
Interface Focus,INTERFACE FOCUS,ROYAL SOC,2042-8898,2042-8901,BIOLOGY,SCIE,"3,152",3.6,Q1,1.06,61.38%
Biology-Basel,BIOLOGY-BASEL,MDPI,N/A,2079-7737,BIOLOGY,SCIE,"17,162",3.6,Q1,0.94,99.59%
ASTROBIOLOGY,ASTROBIOLOGY,"MARY ANN LIEBERT, INC",1531-1074,1557-8070,BIOLOGY,SCIE,"4,991",3.5,Q1,0.89,28.28%
Emerging Topics in Life Sciences,EMERG TOP LIFE SCI,PORTLAND PRESS LTD,2397-8554,2397-8562,BIOLOGY,ESCI,"1,271",3.4,Q1,0.53,47.68%
Life Science Alliance,LIFE SCI ALLIANCE,LIFE SCIENCE ALLIANCE LLC,N/A,2575-1077,BIOLOGY,SCIE,"3,480",3.3,Q1,1.09,99.51%
BIOESSAYS,BIOESSAYS,WILEY,0265-9247,1521-1878,BIOLOGY,SCIE,"10,084",3.2,Q1,0.72,45.13%
Life-Basel,LIFE-BASEL,MDPI,N/A,2075-1729,BIOLOGY,SCIE,"15,665",3.2,Q1,0.72,99.78%
JOURNAL OF THERMAL BIOLOGY,J THERM BIOL,PERGAMON-ELSEVIER SCIENCE LTD,0306-4565,1879-0992,BIOLOGY,SCIE,"7,839",2.9,Q2,1.2,17.16%
JOURNAL OF ETHNOBIOLOGY,J ETHNOBIOL,SAGE PUBLICATIONS INC,0278-0771,2162-4496,BIOLOGY,SCIE,901,2.9,Q2,1.12,2.25%
JOURNAL OF BIOLOGICAL RHYTHMS,J BIOL RHYTHM,SAGE PUBLICATIONS INC,0748-7304,1552-4531,BIOLOGY,SCIE,"3,856",2.9,Q2,0.86,37.31%
Life Sciences in Space Research,LIFE SCI SPACE RES,ELSEVIER,2214-5524,2214-5532,BIOLOGY,SCIE,979,2.9,Q2,0.59,44.67%
Biology Letters,BIOL LETTERS,ROYAL SOC,1744-9561,1744-957X,BIOLOGY,SCIE,"11,594",2.8,Q2,0.82,50.30%
JOURNAL OF EXPERIMENTAL BIOLOGY,J EXP BIOL,COMPANY BIOLOGISTS LTD,0022-0949,1477-9145,BIOLOGY,SCIE,"34,708",2.8,Q2,0.75,32.69%
