Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,CELL PRESS,0169-5347,1872-8383,ECOLOGY,SCIE,"39,040",16.7,Q1,1.99,47.04%
Nature Ecology & Evolution,NAT ECOL EVOL,NATURE PORTFOLIO,2397-334X,2397-334X,ECOLOGY,SCIE,"18,917",13.9,Q1,3.85,25.73%
Annual Review of Ecology Evolution and Systematics,ANNU REV ECOL EVOL S,ANNUAL REVIEWS,1543-592X,1545-2069,ECOLOGY,SCIE,"20,565",11.2,Q1,1.29,29.58%
ISME Journal,ISME J,OXFORD UNIV PRESS,1751-7362,1751-7370,ECOLOGY,SCIE,"38,872",10.8,Q1,2.7,69.46%
GLOBAL CHANGE BIOLOGY,GLOBAL CHANGE BIOL,WILEY,1354-1013,1365-2486,ECOLOGY,SCIE,"68,820",10.8,Q1,2.5,39.19%
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,FRONT ECOL ENVIRON,WILEY,1540-9295,1540-9309,ECOLOGY,SCIE,"12,936",10,Q1,1.88,55.09%
LANDSCAPE AND URBAN PLANNING,LANDSCAPE URBAN PLAN,ELSEVIER,0169-2046,1872-6062,ECOLOGY,SCIE,"28,158",7.9,Q1,2.37,41.24%
ECOLOGY LETTERS,ECOL LETT,WILEY,1461-023X,1461-0248,ECOLOGY,SCIE,"38,664",7.6,Q1,2.12,38.69%
ECOLOGICAL MONOGRAPHS,ECOL MONOGR,WILEY,0012-9615,1557-7015,ECOLOGY,SCIE,"12,052",7.1,Q1,1.72,41.86%
ECOLOGICAL ECONOMICS,ECOL ECON,ELSEVIER,0921-8009,1873-6106,ECOLOGY,SCIE,"33,837",6.6,Q1,1.58,42.01%
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,INT J SUST DEV WORLD,TAYLOR & FRANCIS INC,1350-4509,1745-2627,ECOLOGY,SCIE,"3,529",6.5,Q1,1.5,12.57%
GLOBAL ECOLOGY AND BIOGEOGRAPHY,GLOBAL ECOL BIOGEOGR,WILEY,1466-822X,1466-8238,ECOLOGY,SCIE,"17,766",6.3,Q1,1.77,37.82%
Methods in Ecology and Evolution,METHODS ECOL EVOL,WILEY,2041-210X,2041-2096,ECOLOGY,SCIE,"24,981",6.3,Q1,1.7,63.79%
Ecosystem Services,ECOSYST SERV,ELSEVIER,2212-0416,2212-0416,ECOLOGY,SCIE,"10,137",6.1,Q1,1.42,45.38%
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,AGR ECOSYST ENVIRON,ELSEVIER,0167-8809,1873-2305,ECOLOGY,SCIE,"33,053",6,Q1,1.72,29.50%
Current Opinion in Insect Science,CURR OPIN INSECT SCI,ELSEVIER,2214-5745,2214-5753,ECOLOGY,SCIE,"5,100",5.8,Q1,1.91,38.97%
Ecological Informatics,ECOL INFORM,ELSEVIER,1574-9541,1878-0512,ECOLOGY,SCIE,"8,069",5.8,Q1,1.69,23.03%
Molecular Ecology Resources,MOL ECOL RESOUR,WILEY,1755-098X,1755-0998,ECOLOGY,SCIE,"15,125",5.5,Q1,1.49,39.36%
ECOGRAPHY,ECOGRAPHY,WILEY,0906-7590,1600-0587,ECOLOGY,SCIE,"16,934",5.4,Q1,1.36,78.80%
JOURNAL OF ECOLOGY,J ECOL,WILEY,0022-0477,1365-2745,ECOLOGY,SCIE,"24,342",5.3,Q1,1.36,44.34%
CONSERVATION BIOLOGY,CONSERV BIOL,WILEY,0888-8892,1523-1739,ECOLOGY,SCIE,"22,083",5.2,Q1,1.33,50.72%
ISME Communications,ISME COMMUN,SPRINGERNATURE,N/A,2730-6151,ECOLOGY,ESCI,"1,154",5.1,Q1,1.23,98.20%
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,B AM MUS NAT HIST,AMER MUSEUM NATURAL HISTORY,0003-0090,1937-3546,ECOLOGY,SCIE,"2,560",5.1,Q1,1.03,0%
JOURNAL OF APPLIED ECOLOGY,J APPL ECOL,WILEY,0021-8901,1365-2664,ECOLOGY,SCIE,"25,150",5,Q1,1.33,46.06%
BIOLOGICAL CONSERVATION,BIOL CONSERV,ELSEVIER SCI LTD,0006-3207,1873-2917,ECOLOGY,SCIE,"38,523",4.9,Q1,1.32,43.46%
Acta Ecologica Sinica,ACTA ECOL SINICA,ELSEVIER,1872-2032,1872-2032,ECOLOGY,ESCI,"3,592",4.7,Q1,0.77,1.56%
DIVERSITY AND DISTRIBUTIONS,DIVERS DISTRIB,WILEY,1366-9516,1472-4642,ECOLOGY,SCIE,"11,735",4.6,Q1,1.28,74.79%
FUNCTIONAL ECOLOGY,FUNCT ECOL,WILEY,0269-8463,1365-2435,ECOLOGY,SCIE,"20,482",4.6,Q1,1.25,36.84%
Ecological Processes,ECOL PROCESS,SPRINGER,N/A,2192-1709,ECOLOGY,SCIE,"2,178",4.6,Q1,0.95,100%
MOLECULAR ECOLOGY,MOL ECOL,WILEY,0962-1083,1365-294X,ECOLOGY,SCIE,"38,480",4.5,Q1,1.15,41.56%
