Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
Annual Review of Entomology,ANNU REV ENTOMOL,ANNUAL REVIEWS,0066-4170,1545-4487,ENTOMOLOGY,SCIE,"14,708",15,Q1,3.69,33.33%
Current Opinion in Insect Science,CURR OPIN INSECT SCI,ELSEVIER,2214-5745,2214-5753,ENTOMOLOGY,SCIE,"5,100",5.8,Q1,1.91,38.97%
ENTOMOLOGIA GENERALIS,ENTOMOL GEN,E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG,0171-8177,2363-7102,ENTOMOLOGY,SCIE,"1,599",5.6,Q1,2.59,0%
SYSTEMATIC ENTOMOLOGY,SYST ENTOMOL,WILEY,0307-6970,1365-3113,ENTOMOLOGY,SCIE,"3,138",4.7,Q1,1.84,28.99%
Journal of Insects as Food and Feed,J INSECTS FOOD FEED,WAGENINGEN ACADEMIC PUBLISHERS,N/A,2352-4588,ENTOMOLOGY,SCIE,"2,423",4.7,Q1,1.33,2.54%
JOURNAL OF PEST SCIENCE,J PEST SCI,SPRINGER HEIDELBERG,1612-4758,1612-4766,ENTOMOLOGY,SCIE,"5,671",4.3,Q1,1.98,29.41%
Pesticide Biochemistry and Physiology,PESTIC BIOCHEM PHYS,ACADEMIC PRESS INC ELSEVIER SCIENCE,0048-3575,1095-9939,ENTOMOLOGY,SCIE,"9,849",4.2,Q1,1.53,7.32%
PEST MANAGEMENT SCIENCE,PEST MANAG SCI,JOHN WILEY & SONS LTD,1526-498X,1526-4998,ENTOMOLOGY,SCIE,"20,843",3.8,Q1,1.49,16.97%
Myrmecological News,MYRMECOL NEWS,"OESTERREICHISCHE GESELL ENTOMOFAUNISTIK, C/O NATURHISTOR MUSEUM WIEN",1994-4136,N/A,ENTOMOLOGY,SCIE,774,3.8,Q1,1.19,0%
BIOLOGICAL CONTROL,BIOL CONTROL,ACADEMIC PRESS INC ELSEVIER SCIENCE,1049-9644,1090-2112,ENTOMOLOGY,SCIE,"11,489",3.7,Q1,1.34,27.03%
Insect Systematics and Diversity,INSECT SYST DIVER,OXFORD UNIV PRESS INC,N/A,2399-3421,ENTOMOLOGY,SCIE,422,3.2,Q1,1.68,25%
INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,INSECT BIOCHEM MOLEC,PERGAMON-ELSEVIER SCIENCE LTD,0965-1748,1879-0240,ENTOMOLOGY,SCIE,"8,884",3.2,Q1,1.25,28.26%
Insect Conservation and Diversity,INSECT CONSERV DIVER,WILEY,1752-458X,1752-4598,ENTOMOLOGY,SCIE,"2,117",3.2,Q1,1.23,45.50%
