Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
Nature Reviews Earth & Environment,NAT REV EARTH ENV,SPRINGERNATURE,N/A,2662-138X,ENVIRONMENTAL SCIENCES,SCIE,"8,321",49.7,Q1,5.01,0.64%
Energy & Environmental Science,ENERG ENVIRON SCI,ROYAL SOC CHEMISTRY,1754-5692,1754-5706,ENVIRONMENTAL SCIENCES,SCIE,"110,768",32.4,Q1,4.39,20.18%
Nature Climate Change,NAT CLIM CHANGE,NATURE PORTFOLIO,1758-678X,1758-6798,ENVIRONMENTAL SCIENCES,SCIE,"46,843",29.6,Q1,5.51,23.41%
Nature Sustainability,NAT SUSTAIN,NATURE PORTFOLIO,2398-9629,2398-9629,ENVIRONMENTAL SCIENCES,SCIE,"18,380",25.7,Q1,4.51,19.28%
Lancet Planetary Health,LANCET PLANET HEALTH,ELSEVIER SCI LTD,N/A,2542-5196,ENVIRONMENTAL SCIENCES,SCIE,"8,325",24.1,Q1,4.56,77.43%
Annual Review of Environment and Resources,ANNU REV ENV RESOUR,ANNUAL REVIEWS,1543-5938,1545-2050,ENVIRONMENTAL SCIENCES,SCIE,"7,103",15.5,Q1,1.54,90.59%
One Earth,ONE EARTH,CELL PRESS,2590-3330,2590-3322,ENVIRONMENTAL SCIENCES,SCIE,"5,889",15.1,Q1,1.92,82.43%
Environmental Chemistry Letters,ENVIRON CHEM LETT,SPRINGER HEIDELBERG,1610-3653,1610-3661,ENVIRONMENTAL SCIENCES,SCIE,"16,524",15,Q1,1.18,17.75%
Environmental Science and Ecotechnology,ENVIRON SCI ECOTECH,ELSEVIER,2666-4984,2666-4984,ENVIRONMENTAL SCIENCES,SCIE,"1,837",14,Q1,2.09,98.16%
Biochar,BIOCHAR,SPRINGER SINGAPORE PTE LTD,2524-7972,2524-7867,ENVIRONMENTAL SCIENCES,SCIE,"2,944",13.1,Q1,2.36,84.65%
Resources Environment and Sustainability,RESOUR ENVIRON SUST,ELSEVIER,2666-9161,2666-9161,ENVIRONMENTAL SCIENCES,ESCI,919,12.4,Q1,1.71,94.29%
JOURNAL OF HAZARDOUS MATERIALS,J HAZARD MATER,ELSEVIER,0304-3894,1873-3336,ENVIRONMENTAL SCIENCES,SCIE,"210,090",12.2,Q1,1.85,9.02%
WATER RESEARCH,WATER RES,PERGAMON-ELSEVIER SCIENCE LTD,0043-1354,1879-2448,ENVIRONMENTAL SCIENCES,SCIE,"139,373",11.4,Q1,2.14,20.28%
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,CRIT REV ENV SCI TEC,TAYLOR & FRANCIS INC,1064-3389,1547-6537,ENVIRONMENTAL SCIENCES,SCIE,"11,997",11.4,Q1,0.85,14.49%
RESOURCES CONSERVATION AND RECYCLING,RESOUR CONSERV RECY,ELSEVIER,0921-3449,1879-0658,ENVIRONMENTAL SCIENCES,SCIE,"47,249",11.2,Q1,1.63,28.10%
REMOTE SENSING OF ENVIRONMENT,REMOTE SENS ENVIRON,ELSEVIER SCIENCE INC,0034-4257,1879-0704,ENVIRONMENTAL SCIENCES,SCIE,"86,104",11.1,Q1,2.35,54.85%
Trends in Environmental Analytical Chemistry,TRENDS ENVIRON ANAL,ELSEVIER,2214-1588,2214-1588,ENVIRONMENTAL SCIENCES,SCIE,"1,886",11.1,Q1,1.87,14.41%
GLOBAL CHANGE BIOLOGY,GLOBAL CHANGE BIOL,WILEY,1354-1013,1365-2486,ENVIRONMENTAL SCIENCES,SCIE,"68,820",10.8,Q1,2.5,39.19%
ENVIRONMENTAL SCIENCE & TECHNOLOGY,ENVIRON SCI TECHNOL,AMER CHEMICAL SOC,0013-936X,1520-5851,ENVIRONMENTAL SCIENCES,SCIE,"239,936",10.8,Q1,1.56,13.80%
npj Clean Water,NPJ CLEAN WATER,NATURE PORTFOLIO,2059-7037,2059-7037,ENVIRONMENTAL SCIENCES,SCIE,"2,563",10.4,Q1,1.47,99.46%
ENVIRONMENT INTERNATIONAL,ENVIRON INT,PERGAMON-ELSEVIER SCIENCE LTD,0160-4120,1873-6750,ENVIRONMENTAL SCIENCES,SCIE,"62,853",10.3,Q1,1.9,96.98%
ENVIRONMENTAL HEALTH PERSPECTIVES,ENVIRON HEALTH PERSP,US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE,0091-6765,1552-9924,ENVIRONMENTAL SCIENCES,SCIE,"39,172",10.1,Q1,2.41,88.74%
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,FRONT ECOL ENVIRON,WILEY,1540-9295,1540-9309,ENVIRONMENTAL SCIENCES,SCIE,"12,936",10,Q1,1.88,55.09%
Journal of Cleaner Production,J CLEAN PROD,ELSEVIER SCI LTD,0959-6526,1879-1786,ENVIRONMENTAL SCIENCES,SCIE,"317,153",9.7,Q1,1.52,14.15%
Energy Policy,ENERG POLICY,ELSEVIER SCI LTD,0301-4215,1873-6777,ENVIRONMENTAL SCIENCES,SCIE,"67,144",9.3,Q1,1.99,30.21%
Environmental Chemistry and Ecotoxicology,ENVIRON CHEM ECOTOX,KEAI PUBLISHING LTD,N/A,2590-1826,ENVIRONMENTAL SCIENCES,ESCI,711,9,Q1,1.67,100%
Environmental Science & Technology Letters,ENVIRON SCI TECH LET,AMER CHEMICAL SOC,2328-8930,N/A,ENVIRONMENTAL SCIENCES,SCIE,"9,967",8.9,Q1,1.49,17.55%
Journal of Remote Sensing,J REMOTE SENS-PRC,AMER ASSOC ADVANCEMENT SCIENCE,N/A,2694-1589,ENVIRONMENTAL SCIENCES,ESCI,527,8.8,Q1,1.3,90.28%
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,GLOBAL ENVIRON CHANG,ELSEVIER SCI LTD,0959-3780,1872-9495,ENVIRONMENTAL SCIENCES,SCIE,"24,192",8.6,Q1,2.37,56.97%
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,REV ENVIRON SCI BIO,SPRINGER,1569-1705,1572-9826,ENVIRONMENTAL SCIENCES,SCIE,"5,115",8.6,Q1,1.1,23.21%
