Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,CELL PRESS,0169-5347,1872-8383,EVOLUTIONARY BIOLOGY,SCIE,"39,040",16.7,Q1,1.99,47.04%
Nature Ecology & Evolution,NAT ECOL EVOL,NATURE PORTFOLIO,2397-334X,2397-334X,EVOLUTIONARY BIOLOGY,SCIE,"18,917",13.9,Q1,3.85,25.73%
Annual Review of Cell and Developmental Biology,ANNU REV CELL DEV BI,ANNUAL REVIEWS,1081-0706,1530-8995,DEVELOPMENTAL BIOLOGY,SCIE,"9,955",11.4,Q1,1.27,32.76%
Annual Review of Ecology Evolution and Systematics,ANNU REV ECOL EVOL S,ANNUAL REVIEWS,1543-592X,1545-2069,EVOLUTIONARY BIOLOGY,SCIE,"20,565",11.2,Q1,1.29,29.58%
MOLECULAR BIOLOGY AND EVOLUTION,MOL BIOL EVOL,OXFORD UNIV PRESS,0737-4038,1537-1719,EVOLUTIONARY BIOLOGY,SCIE,"62,418",11,Q1,2.47,95.42%
DEVELOPMENTAL CELL,DEV CELL,CELL PRESS,1534-5807,1878-1551,DEVELOPMENTAL BIOLOGY,SCIE,"33,248",10.7,Q1,2.4,80.45%
GENES & DEVELOPMENT,GENE DEV,"COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT",0890-9369,1549-5477,DEVELOPMENTAL BIOLOGY,SCIE,"46,711",7.5,Q1,1.86,98.19%
SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,SEMIN CELL DEV BIOL,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,1084-9521,1096-3634,DEVELOPMENTAL BIOLOGY,SCIE,"14,888",6.2,Q1,0.95,42.14%
Systematic Biology,SYST BIOL,OXFORD UNIV PRESS,1063-5157,1076-836X,EVOLUTIONARY BIOLOGY,SCIE,"18,274",6.1,Q1,1.82,44.82%
Molecular Ecology Resources,MOL ECOL RESOUR,WILEY,1755-098X,1755-0998,EVOLUTIONARY BIOLOGY,SCIE,"15,125",5.5,Q1,1.49,39.36%
SYSTEMATIC ENTOMOLOGY,SYST ENTOMOL,WILEY,0307-6970,1365-3113,EVOLUTIONARY BIOLOGY,SCIE,"3,138",4.7,Q1,1.84,28.99%
Frontiers in Cell and Developmental Biology,FRONT CELL DEV BIOL,FRONTIERS MEDIA SA,2296-634X,2296-634X,DEVELOPMENTAL BIOLOGY,SCIE,"46,541",4.6,Q1,0.85,99.06%
MOLECULAR ECOLOGY,MOL ECOL,WILEY,0962-1083,1365-294X,EVOLUTIONARY BIOLOGY,SCIE,"38,480",4.5,Q1,1.15,41.56%
EvoDevo,EVODEVO,BMC,N/A,2041-9139,DEVELOPMENTAL BIOLOGY,SCIE,887,4.1,Q1,0.92,100%
EvoDevo,EVODEVO,BMC,N/A,2041-9139,EVOLUTIONARY BIOLOGY,SCIE,887,4.1,Q1,0.92,100%
Neural Development,NEURAL DEV,BMC,N/A,1749-8104,DEVELOPMENTAL BIOLOGY,SCIE,978,4,Q1,0.84,100%
CLADISTICS,CLADISTICS,WILEY,0748-3007,1096-0031,EVOLUTIONARY BIOLOGY,SCIE,"3,694",3.9,Q1,1.68,23.08%
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,P ROY SOC B-BIOL SCI,ROYAL SOC,0962-8452,1471-2954,EVOLUTIONARY BIOLOGY,SCIE,"56,545",3.8,Q1,1.13,54.45%
DEVELOPMENT,DEVELOPMENT,COMPANY BIOLOGISTS LTD,0950-1991,1477-9129,DEVELOPMENTAL BIOLOGY,SCIE,"49,508",3.7,Q1,1.08,44.86%
