Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
Annual Review of Marine Science,ANNU REV MAR SCI,ANNUAL REVIEWS,1941-1405,1941-0611,MARINE & FRESHWATER BIOLOGY,SCIE,"6,230",14.3,Q1,2.5,44.26%
Annual Review of Marine Science,ANNU REV MAR SCI,ANNUAL REVIEWS,1941-1405,1941-0611,OCEANOGRAPHY,SCIE,"6,230",14.3,Q1,2.5,44.26%
Journal of Ocean Engineering and Science,J OCEAN ENG SCI,ELSEVIER,2468-0133,2468-0133,"ENGINEERING, MARINE",SCIE,"2,204",13,Q1,2.36,97.28%
Journal of Ocean Engineering and Science,J OCEAN ENG SCI,ELSEVIER,2468-0133,2468-0133,"ENGINEERING, OCEAN",SCIE,"2,204",13,Q1,2.36,97.28%
Reviews in Aquaculture,REV AQUACULT,WILEY,1753-5123,1753-5131,FISHERIES,SCIE,"7,413",8.8,Q1,2.02,27.49%
Reviews in Fisheries Science & Aquaculture,REV FISH SCI AQUAC,TAYLOR & FRANCIS INC,2330-8249,2330-8257,FISHERIES,SCIE,"1,927",6.4,Q1,1.28,25.42%
REVIEWS IN FISH BIOLOGY AND FISHERIES,REV FISH BIOL FISHER,SPRINGER,0960-3166,1573-5184,FISHERIES,SCIE,"4,808",5.9,Q1,1.35,39.04%
REVIEWS IN FISH BIOLOGY AND FISHERIES,REV FISH BIOL FISHER,SPRINGER,0960-3166,1573-5184,MARINE & FRESHWATER BIOLOGY,SCIE,"4,808",5.9,Q1,1.35,39.04%
Marine Life Science & Technology,MAR LIFE SCI TECH,SPRINGERNATURE,2096-6490,2662-1746,MARINE & FRESHWATER BIOLOGY,SCIE,853,5.8,Q1,1.46,47.22%
FISH AND FISHERIES,FISH FISH,WILEY,1467-2960,1467-2979,FISHERIES,SCIE,"6,816",5.6,Q1,2.2,41.30%
HARMFUL ALGAE,HARMFUL ALGAE,ELSEVIER,1568-9883,1878-1470,MARINE & FRESHWATER BIOLOGY,SCIE,"8,567",5.5,Q1,2.1,39.94%
Marine Pollution Bulletin,MAR POLLUT BULL,PERGAMON-ELSEVIER SCIENCE LTD,0025-326X,1879-3363,MARINE & FRESHWATER BIOLOGY,SCIE,"62,356",5.3,Q1,1.49,19.96%
Limnology and Oceanography Letters,LIMNOL OCEANOGR LETT,WILEY,N/A,2378-2242,OCEANOGRAPHY,SCIE,"1,785",5.1,Q1,1.81,79.49%
Water Biology and Security,WATER BIOL SECUR,KEAI PUBLISHING LTD,N/A,2772-7351,FISHERIES,ESCI,250,5.1,Q1,1.2,98.81%
Water Biology and Security,WATER BIOL SECUR,KEAI PUBLISHING LTD,N/A,2772-7351,MARINE & FRESHWATER BIOLOGY,ESCI,250,5.1,Q1,1.2,98.81%
OCEAN & COASTAL MANAGEMENT,OCEAN COAST MANAGE,ELSEVIER SCI LTD,0964-5691,1873-524X,OCEANOGRAPHY,SCIE,"13,130",4.8,Q1,1.42,22.37%
Ocean Engineering,OCEAN ENG,PERGAMON-ELSEVIER SCIENCE LTD,0029-8018,1873-5258,"ENGINEERING, MARINE",SCIE,"53,367",4.6,Q1,1.33,12.08%
Ocean Engineering,OCEAN ENG,PERGAMON-ELSEVIER SCIENCE LTD,0029-8018,1873-5258,"ENGINEERING, OCEAN",SCIE,"53,367",4.6,Q1,1.33,12.08%
Ocean Engineering,OCEAN ENG,PERGAMON-ELSEVIER SCIENCE LTD,0029-8018,1873-5258,OCEANOGRAPHY,SCIE,"53,367",4.6,Q1,1.33,12.08%
APPLIED OCEAN RESEARCH,APPL OCEAN RES,ELSEVIER SCI LTD,0141-1187,1879-1549,"ENGINEERING, OCEAN",SCIE,"10,641",4.3,Q1,1.34,13.45%
APPLIED OCEAN RESEARCH,APPL OCEAN RES,ELSEVIER SCI LTD,0141-1187,1879-1549,OCEANOGRAPHY,SCIE,"10,641",4.3,Q1,1.34,13.45%
COASTAL ENGINEERING,COAST ENG,ELSEVIER,0378-3839,1872-7379,"ENGINEERING, OCEAN",SCIE,"10,040",4.2,Q1,1.14,36.26%
FISH & SHELLFISH IMMUNOLOGY,FISH SHELLFISH IMMUN,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,1050-4648,1095-9947,FISHERIES,SCIE,"30,250",4.1,Q1,1.57,7.24%
FISH & SHELLFISH IMMUNOLOGY,FISH SHELLFISH IMMUN,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,1050-4648,1095-9947,MARINE & FRESHWATER BIOLOGY,SCIE,"30,250",4.1,Q1,1.57,7.24%
