Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
NATURE,NATURE,NATURE PORTFOLIO,0028-0836,1476-4687,MULTIDISCIPLINARY SCIENCES,SCIE,"912,552",50.5,Q1,11.28,34.42%
Nature Reviews Methods Primers,NAT REV METHOD PRIME,SPRINGERNATURE,N/A,2662-8449,MULTIDISCIPLINARY SCIENCES,ESCI,"4,515",50.1,Q1,8.14,5.97%
SCIENCE,SCIENCE,AMER ASSOC ADVANCEMENT SCIENCE,0036-8075,1095-9203,MULTIDISCIPLINARY SCIENCES,SCIE,"763,009",44.7,Q1,9.91,4.53%
Innovation,INNOVATION-AMSTERDAM,CELL PRESS,2666-6758,2666-6758,MULTIDISCIPLINARY SCIENCES,ESCI,"5,342",33.2,Q1,4.53,88.72%
Nature Human Behaviour,NAT HUM BEHAV,NATURE PORTFOLIO,2397-3374,2397-3374,MULTIDISCIPLINARY SCIENCES,SCIE,"14,996",21.4,Q1,6.21,22.10%
Science Bulletin,SCI BULL,ELSEVIER,2095-9273,2095-9281,MULTIDISCIPLINARY SCIENCES,SCIE,"18,154",18.8,Q1,3.37,22.64%
National Science Review,NATL SCI REV,OXFORD UNIV PRESS,2095-5138,2053-714X,MULTIDISCIPLINARY SCIENCES,SCIE,"15,536",16.3,Q1,3.27,93.89%
Nature Communications,NAT COMMUN,NATURE PORTFOLIO,N/A,2041-1723,MULTIDISCIPLINARY SCIENCES,SCIE,"738,284",14.7,Q1,3.28,99.70%
Nature Computational Science,NAT COMPUT SCI,SPRINGERNATURE,N/A,2662-8457,MULTIDISCIPLINARY SCIENCES,ESCI,"1,941",12,Q1,2.72,24.88%
GigaScience,GIGASCIENCE,OXFORD UNIV PRESS,2047-217X,2047-217X,MULTIDISCIPLINARY SCIENCES,SCIE,"9,724",11.8,Q1,2.17,95.92%
Science Advances,SCI ADV,AMER ASSOC ADVANCEMENT SCIENCE,2375-2548,2375-2548,MULTIDISCIPLINARY SCIENCES,SCIE,"147,104",11.7,Q1,2.76,65.17%
Journal of Advanced Research,J ADV RES,ELSEVIER,2090-1232,2090-1224,MULTIDISCIPLINARY SCIENCES,SCIE,"10,834",11.4,Q1,2.63,96.59%
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,P NATL ACAD SCI USA,NATL ACAD SCIENCES,0027-8424,1091-6490,MULTIDISCIPLINARY SCIENCES,SCIE,"730,197",9.4,Q1,2.39,77.30%
Research,RESEARCH-CHINA,AMER ASSOC ADVANCEMENT SCIENCE,2096-5168,2639-5274,MULTIDISCIPLINARY SCIENCES,SCIE,"5,868",8.5,Q1,1.58,92.15%
Machine Learning-Science and Technology,MACH LEARN-SCI TECHN,IOP Publishing Ltd,N/A,2632-2153,MULTIDISCIPLINARY SCIENCES,SCIE,"2,161",6.3,Q1,1.16,99.53%
Scientific Data,SCI DATA,NATURE PORTFOLIO,N/A,2052-4463,MULTIDISCIPLINARY SCIENCES,SCIE,"27,572",5.8,Q1,1.73,99.69%
Fundamental Research,FUND RES-CHINA,KEAI PUBLISHING LTD,2096-9457,2667-3258,MULTIDISCIPLINARY SCIENCES,ESCI,"1,431",5.7,Q1,1.08,97.02%
Research Synthesis Methods,RES SYNTH METHODS,WILEY,1759-2879,1759-2887,MULTIDISCIPLINARY SCIENCES,SCIE,"6,955",5,Q1,2.08,51.67%
iScience,ISCIENCE,CELL PRESS,N/A,2589-0042,MULTIDISCIPLINARY SCIENCES,SCIE,"29,395",4.6,Q1,1.02,93.78%
NPJ Microgravity,NPJ MICROGRAVITY,NATURE PORTFOLIO,N/A,2373-8065,MULTIDISCIPLINARY SCIENCES,SCIE,"1,394",4.4,Q1,1.03,99.50%
GLOBAL CHALLENGES,GLOB CHALL,WILEY-V C H VERLAG GMBH,N/A,2056-6646,MULTIDISCIPLINARY SCIENCES,SCIE,"2,211",4.4,Q1,0.76,76.47%
PROCEEDINGS OF THE JAPAN ACADEMY SERIES B-PHYSICAL AND BIOLOGICAL SCIENCES,P JPN ACAD B-PHYS,JAPAN ACAD,0386-2208,1349-2896,MULTIDISCIPLINARY SCIENCES,SCIE,"2,404",4.4,Q1,0.59,98.73%
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,PHILOS T R SOC A,ROYAL SOC,1364-503X,1471-2962,MULTIDISCIPLINARY SCIENCES,SCIE,"25,671",4.3,Q1,1.04,37.06%
ANNALS OF THE NEW YORK ACADEMY OF SCIENCES,ANN NY ACAD SCI,WILEY,0077-8923,1749-6632,MULTIDISCIPLINARY SCIENCES,SCIE,"44,441",4.1,Q1,0.95,32.21%
Scientific Reports,SCI REP-UK,NATURE PORTFOLIO,2045-2322,2045-2322,MULTIDISCIPLINARY SCIENCES,SCIE,"734,562",3.8,Q1,1.05,99.85%
JOURNAL OF KING SAUD UNIVERSITY SCIENCE,J KING SAUD UNIV SCI,ELSEVIER,1018-3647,2213-686X,MULTIDISCIPLINARY SCIENCES,SCIE,"8,186",3.7,Q1,0.95,96%
Journal of the Royal Society Interface,J R SOC INTERFACE,ROYAL SOC,1742-5689,1742-5662,MULTIDISCIPLINARY SCIENCES,SCIE,"17,349",3.7,Q1,0.89,62.08%
Heliyon,HELIYON,CELL PRESS,N/A,2405-8440,MULTIDISCIPLINARY SCIENCES,SCIE,"53,911",3.4,Q1,0.81,95.90%
FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,FRACTALS,WORLD SCIENTIFIC PUBL CO PTE LTD,0218-348X,1793-6543,MULTIDISCIPLINARY SCIENCES,SCIE,"5,382",3.3,Q1,1.63,39.15%
SCIENTIFIC AMERICAN,SCI AM,SPRINGER,0036-8733,1946-7087,MULTIDISCIPLINARY SCIENCES,SCIE,"8,170",3.1,Q1,0.06,0%
Royal Society Open Science,ROY SOC OPEN SCI,ROYAL SOC,2054-5703,2054-5703,MULTIDISCIPLINARY SCIENCES,SCIE,"15,809",2.9,Q1,0.9,99.94%
PLoS One,PLOS ONE,PUBLIC LIBRARY SCIENCE,1932-6203,1932-6203,MULTIDISCIPLINARY SCIENCES,SCIE,"807,746",2.9,Q1,0.88,99.34%
PROCEEDINGS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,P ROY SOC A-MATH PHY,ROYAL SOC,1364-5021,1471-2946,MULTIDISCIPLINARY SCIENCES,SCIE,"23,115",2.9,Q1,0.83,42.27%
Facets,FACETS,CANADIAN SCIENCE PUBLISHING,2371-1671,2371-1671,MULTIDISCIPLINARY SCIENCES,SCIE,"1,114",2.9,Q1,0.81,91.16%
Advanced Theory and Simulations,ADV THEOR SIMUL,WILEY-V C H VERLAG GMBH,N/A,2513-0390,MULTIDISCIPLINARY SCIENCES,SCIE,"2,831",2.9,Q1,0.65,16.91%
Journal of Taibah University for Science,J TAIBAH UNIV SCI,TAYLOR & FRANCIS LTD,1658-3655,1658-3655,MULTIDISCIPLINARY SCIENCES,SCIE,"3,154",2.8,Q2,1.03,99.17%
