Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
Ornithological Applications,ORNITHOL APPL,OXFORD UNIV PRESS INC,0010-5422,2732-4621,ORNITHOLOGY,SCIE,333,2.6,Q1,2.13,24.84%
Ornithology,ORNITHOLOGY,OXFORD UNIV PRESS INC,0004-8038,2732-4613,ORNITHOLOGY,SCIE,317,2,Q1,1.79,12.88%
IBIS,IBIS,WILEY,0019-1019,1474-919X,ORNITHOLOGY,SCIE,"5,213",1.8,Q1,1.45,31.38%
Avian Research,AVIAN RES,KEAI PUBLISHING LTD,2053-7166,2053-7166,ORNITHOLOGY,SCIE,691,1.6,Q1,1.38,100%
JOURNAL OF AVIAN BIOLOGY,J AVIAN BIOL,WILEY,0908-8857,1600-048X,ORNITHOLOGY,SCIE,"3,622",1.5,Q1,1.3,64.67%
Birds,BIRDS-BASEL,MDPI,N/A,2673-6004,ORNITHOLOGY,ESCI,115,1.5,Q1,1.14,98.89%
BIRD CONSERVATION INTERNATIONAL,BIRD CONSERV INT,CAMBRIDGE UNIV PRESS,0959-2709,1474-0001,ORNITHOLOGY,SCIE,"1,478",1.5,Q1,0.96,31.98%
Ardeola-International Journal of Ornithology,ARDEOLA,SOC ESPANOLA ORNITOLGIA,0570-7358,2341-0825,ORNITHOLOGY,SCIE,505,1.4,Q2,1.15,0%
Ornithology Research,ORNITHOL RES,SPRINGERNATURE,N/A,2662-673X,ORNITHOLOGY,SCIE,159,1.4,Q2,0.92,4.76%
Avian Conservation and Ecology,AVIAN CONSERV ECOL,Resilience Alliance,1712-6568,N/A,ORNITHOLOGY,SCIE,817,1.4,Q2,0.57,99.43%
JOURNAL OF ORNITHOLOGY,J ORNITHOL,SPRINGER HEIDELBERG,2193-7192,2193-7206,ORNITHOLOGY,SCIE,"3,363",1.3,Q2,1.07,48.76%
OSTRICH,OSTRICH,TAYLOR & FRANCIS LTD,0030-6525,1727-947X,ORNITHOLOGY,SCIE,873,1.3,Q2,0.94,1.09%
JOURNAL OF RAPTOR RESEARCH,J RAPTOR RES,RAPTOR RESEARCH FOUNDATION INC,0892-1016,2162-4569,ORNITHOLOGY,SCIE,"1,224",1.2,Q2,0.83,0%
ORNIS FENNICA,ORNIS FENNICA,BIRDLIFE FINLAND,0030-5685,0030-5685,ORNITHOLOGY,SCIE,524,1,Q2,0.76,2.33%
Emu-Austral Ornithology,EMU,TAYLOR & FRANCIS AUSTRALIA,0158-4197,1448-5540,ORNITHOLOGY,SCIE,"1,218",0.9,Q3,0.88,14.71%
ARDEA,ARDEA,NEDERLANDSE ORNITHOLOGISCHE UNIE,0373-2266,2213-1175,ORNITHOLOGY,SCIE,"1,177",0.8,Q3,0.66,0%
ACTA ORNITHOLOGICA,ACTA ORNITHOL,MUSEUM & INST ZOOLOGY,0001-6454,1734-8471,ORNITHOLOGY,SCIE,589,0.8,Q3,0.6,0%
MARINE ORNITHOLOGY,MAR ORNITHOL,PACIFIC SEABIRD GROUP,1018-3337,2074-1235,ORNITHOLOGY,SCIE,577,0.8,Q3,0.43,0%
JOURNAL OF FIELD ORNITHOLOGY,J FIELD ORNITHOL,Resilience Alliance,0273-8570,1557-9263,ORNITHOLOGY,SCIE,"1,466",0.7,Q3,0.7,65.35%
BIRD STUDY,BIRD STUDY,TAYLOR & FRANCIS LTD,0006-3657,1944-6705,ORNITHOLOGY,SCIE,"1,836",0.7,Q3,0.66,14.75%
WATERBIRDS,WATERBIRDS,WATERBIRD SOC,1524-4695,1938-5390,ORNITHOLOGY,SCIE,"1,230",0.7,Q3,0.43,0%
WILDFOWL,WILDFOWL,WILDFOWL & WETLANDS TRUST,0954-6324,2052-6458,ORNITHOLOGY,SCIE,383,0.5,Q4,0.69,0%
Avian Biology Research,AVIAN BIOL RES,SAGE PUBLICATIONS LTD,1758-1559,1758-1567,ORNITHOLOGY,SCIE,369,0.5,Q4,0.41,6%
ORNITHOLOGICAL SCIENCE,ORNITHOL SCI,"ORNITHOLOGICAL SOC JAPAN, UNIV TOKYO, SCH AGR",1347-0558,1347-0558,ORNITHOLOGY,SCIE,243,0.5,Q4,0.41,0%
ORNIS HUNGARICA,ORNIS HUNGARICA,WALTER DE GRUYTER GMBH,1215-1610,2061-9588,ORNITHOLOGY,ESCI,168,0.4,Q4,0.32,100%
Wilson Journal of Ornithology,WILSON J ORNITHOL,WILSON ORNITHOLOGICAL SOC,1559-4491,1938-5447,ORNITHOLOGY,SCIE,"1,075",0.4,Q4,0.3,0%
NOTORNIS,NOTORNIS,ORNITHOLOGICAL SOC NEW ZEALAND,0029-4470,1177-7680,ORNITHOLOGY,SCIE,478,0.2,Q4,0.54,0%
ORNITOLOGIA NEOTROPICAL,ORNITOL NEOTROP,"NEOTROPICAL ORNITHOLOGICAL SOC, USGS PATUXENT WILDLIFE RESEARCH CTR",1075-4377,1075-4377,ORNITHOLOGY,SCIE,588,0.2,Q4,0.15,33.33%
MALIMBUS,MALIMBUS,WEST AFRICAN ORNITHOLOGICAL SOC,0331-3689,N/A,ORNITHOLOGY,SCIE,84,0.1,Q4,0.21,0%
,,,,,,,,,,,
Copyright (c) 2024 Clarivate ,,,,,,,,,,,
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use ,,,,,,,,,,,
