Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
JOURNAL OF MICROPALAEONTOLOGY,J MICROPALAEONTOL,COPERNICUS GESELLSCHAFT MBH,0262-821X,2041-4978,PALEONTOLOGY,SCIE,546,4.1,Q1,1.44,96.88%
Paleoceanography and Paleoclimatology,PALEOCEANOGR PALEOCL,AMER GEOPHYSICAL UNION,2572-4517,2572-4525,PALEONTOLOGY,SCIE,"2,031",3.2,Q1,1.21,39.66%
Swiss Journal of Palaeontology,SWISS J PALAEONTOL,SPRINGER INT PUBL AG,1664-2376,1664-2384,PALEONTOLOGY,SCIE,392,3,Q1,1.42,100%
PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,PALAEOGEOGR PALAEOCL,ELSEVIER,0031-0182,1872-616X,PALEONTOLOGY,SCIE,"26,704",2.6,Q1,1.02,18.85%
PALEOBIOLOGY,PALEOBIOLOGY,CAMBRIDGE UNIV PRESS,0094-8373,1938-5331,PALEONTOLOGY,SCIE,"4,128",2.6,Q1,0.94,65.87%
PALAEONTOLOGY,PALAEONTOLOGY,WILEY,0031-0239,1475-4983,PALEONTOLOGY,SCIE,"4,277",2.5,Q1,1.29,36.97%
Journal of Palaeogeography-English,J PALAEOGEOG-ENGLISH,ELSEVIER SCIENCE INC,2095-3836,2524-4507,PALEONTOLOGY,SCIE,703,2.5,Q1,0.94,98.96%
Papers in Palaeontology,PAP PALAEONTOL,WILEY,2056-2799,2056-2802,PALEONTOLOGY,SCIE,705,2.3,Q1,1.21,29.55%
JOURNAL OF SYSTEMATIC PALAEONTOLOGY,J SYST PALAEONTOL,TAYLOR & FRANCIS LTD,1477-2019,1478-0941,PALEONTOLOGY,SCIE,"1,477",2.2,Q1,0.94,13.45%
VEGETATION HISTORY AND ARCHAEOBOTANY,VEG HIST ARCHAEOBOT,SPRINGER,0939-6314,1617-6278,PALEONTOLOGY,SCIE,"2,462",2.1,Q1,0.87,50.66%
Palaeontographica Abteilung B-Palaeophytologie Palaeobotany-Palaeophytology,PALAEONTOGR ABT B,E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG,2194-900X,2509-839X,PALEONTOLOGY,SCIE,546,2,Q1,1.16,0%
Fossil Record,FOSS REC,PENSOFT PUBLISHERS,N/A,2193-0074,PALEONTOLOGY,SCIE,386,1.9,Q1,1.06,91.80%
CRETACEOUS RESEARCH,CRETACEOUS RES,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0195-6671,1095-998X,PALEONTOLOGY,SCIE,"6,459",1.9,Q1,1.05,14.57%
Palaeoentomology,PALAEOENTOMOLOGY,MAGNOLIA PRESS,2624-2826,2624-2834,PALEONTOLOGY,ESCI,550,1.9,Q1,0.99,0%
PalZ,PALZ,SPRINGER HEIDELBERG,0031-0220,1867-6812,PALEONTOLOGY,SCIE,551,1.9,Q1,0.88,55%
LETHAIA,LETHAIA,SCANDINAVIAN UNIV PRESS-UNIVERSITETSFORLAGET AS,0024-1164,1502-3931,PALEONTOLOGY,SCIE,"2,280",1.9,Q1,0.74,9.09%
PALAEONTOGRAPHICA ABTEILUNG A-PALAOZOOLOGIE-STRATIGRAPHIE,PALAEONTOGR ABT A,E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG,0375-0442,0375-0442,PALEONTOLOGY,SCIE,646,1.8,Q2,0.99,0%
FACIES,FACIES,SPRINGER,0172-9179,1612-4820,PALEONTOLOGY,SCIE,"1,626",1.8,Q2,0.88,42.37%
