Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
Annual Review of Psychology,ANNU REV PSYCHOL,ANNUAL REVIEWS,0066-4308,1545-2085,PSYCHOLOGY,SCIE,"27,556",23.6,Q1,4.22,30.77%
Annual Review of Psychology,ANNU REV PSYCHOL,ANNUAL REVIEWS,0066-4308,1545-2085,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"27,556",23.6,Q1,4.22,30.77%
Nature Human Behaviour,NAT HUM BEHAV,NATURE PORTFOLIO,2397-3374,2397-3374,"PSYCHOLOGY, EXPERIMENTAL",SSCI,"14,996",21.4,Q1,6.21,22.10%
Psychological Science in the Public Interest,PSYCHOL SCI PUBL INT,SAGE PUBLICATIONS LTD,1529-1006,1539-6053,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"2,770",18.2,Q1,7.26,28.57%
Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,ANNUAL REVIEWS,1548-5943,1548-5951,PSYCHOLOGY,SCIE,"9,235",17.8,Q1,6.33,26.56%
PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,AMER PSYCHOLOGICAL ASSOC,0033-2909,1939-1455,PSYCHOLOGY,SCIE,"57,102",17.3,Q1,4.84,5.10%
PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,AMER PSYCHOLOGICAL ASSOC,0033-2909,1939-1455,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"57,102",17.3,Q1,4.84,5.10%
Nature Reviews Psychology,NAT REV PSYCHOL,SPRINGERNATURE,N/A,2731-0574,"PSYCHOLOGY, MULTIDISCIPLINARY",ESCI,"1,031",16.8,Q1,4.1,0%
TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,CELL PRESS,1364-6613,1879-307X,"PSYCHOLOGY, EXPERIMENTAL",SSCI,"32,732",16.7,Q1,2.06,43.06%
BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,CAMBRIDGE UNIV PRESS,0140-525X,1469-1825,"PSYCHOLOGY, BIOLOGICAL",SSCI,"11,517",16.6,Q1,5.44,0%
PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHER PSYCHOSOM,KARGER,0033-3190,1423-0348,PSYCHOLOGY,SCIE,"6,004",16.3,Q1,3.88,47.22%
Advances in Methods and Practices in Psychological Science,ADV METH PRACT PSYCH,SAGE PUBLICATIONS INC,2515-2459,2515-2467,PSYCHOLOGY,SCIE,"2,921",15.6,Q1,4.34,94.19%
Advances in Methods and Practices in Psychological Science,ADV METH PRACT PSYCH,SAGE PUBLICATIONS INC,2515-2459,2515-2467,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"2,921",15.6,Q1,4.34,94.19%
Annual Review of Organizational Psychology and Organizational Behavior,ANNU REV ORGAN PSYCH,ANNUAL REVIEWS,2327-0608,2327-0616,"PSYCHOLOGY, APPLIED",SSCI,"4,929",14.3,Q1,4.1,36.73%
AMERICAN PSYCHOLOGIST,AM PSYCHOL,AMER PSYCHOLOGICAL ASSOC,0003-066X,1935-990X,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"34,832",12.3,Q1,5.13,8.06%
Qualitative Psychology,QUAL PSYCHOL,AMER PSYCHOLOGICAL ASSOC,2326-3601,2326-3598,"PSYCHOLOGY, MULTIDISCIPLINARY",ESCI,"1,639",11.7,Q1,3.84,0%
Industrial and Organizational Psychology-Perspectives on Science and Practice,IND ORGAN PSYCHOL-US,CAMBRIDGE UNIV PRESS,1754-9426,1754-9434,"PSYCHOLOGY, APPLIED",SSCI,"1,864",11.5,Q1,3.07,30.77%
Perspectives on Psychological Science,PERSPECT PSYCHOL SCI,SAGE PUBLICATIONS LTD,1745-6916,1745-6924,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"16,431",10.5,Q1,3.67,30.35%
Autism in Adulthood,AUTISM ADULTHOOD,"MARY ANN LIEBERT, INC",2573-9581,2573-959X,"PSYCHOLOGY, DEVELOPMENTAL",ESCI,"1,241",9.5,Q1,2.98,9.56%
