Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,WILEY,0007-9235,1542-4863,ONCOLOGY,SCIE,"65,911",503.1,Q1,88.75,92.68%
NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,NATURE PORTFOLIO,1474-1776,1474-1784,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"48,152",122.7,Q1,13.41,9.91%
NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,NATURE PORTFOLIO,1474-1776,1474-1784,PHARMACOLOGY & PHARMACY,SCIE,"48,152",122.7,Q1,13.41,9.91%
LANCET,LANCET,ELSEVIER SCIENCE INC,0140-6736,1474-547X,"MEDICINE, GENERAL & INTERNAL",SCIE,"336,057",98.4,Q1,24.06,25.97%
NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,MASSACHUSETTS MEDICAL SOC,0028-4793,1533-4406,"MEDICINE, GENERAL & INTERNAL",SCIE,"404,835",96.2,Q1,25.23,3.80%
BMJ-British Medical Journal,BMJ-BRIT MED J,BMJ PUBLISHING GROUP,0959-535X,1756-1833,"MEDICINE, GENERAL & INTERNAL",SCIE,"163,066",93.6,Q1,10.42,81.80%
NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,NATURE PORTFOLIO,1471-0072,1471-0080,CELL BIOLOGY,SCIE,"65,632",81.3,Q1,8.76,1.37%
Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,NATURE PORTFOLIO,1759-4774,1759-4782,ONCOLOGY,SCIE,"27,709",81.1,Q1,10.56,1.47%
Nature Reviews Materials,NAT REV MATER,NATURE PORTFOLIO,2058-8437,2058-8437,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"35,616",79.8,Q1,4.35,1.99%
Nature Reviews Materials,NAT REV MATER,NATURE PORTFOLIO,2058-8437,2058-8437,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"35,616",79.8,Q1,4.35,1.99%
Nature Reviews Disease Primers,NAT REV DIS PRIMERS,NATURE PORTFOLIO,2056-676X,2056-676X,"MEDICINE, GENERAL & INTERNAL",SCIE,"31,331",76.9,Q1,18.46,3.42%
NATURE REVIEWS CANCER,NAT REV CANCER,NATURE PORTFOLIO,1474-175X,1474-1768,ONCOLOGY,SCIE,"59,496",72.5,Q1,9.96,0.76%
NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,NATURE PORTFOLIO,1740-1526,1740-1534,MICROBIOLOGY,SCIE,"53,193",69.2,Q1,7.64,5.84%
NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,NATURE PORTFOLIO,1474-1733,1474-1741,IMMUNOLOGY,SCIE,"61,956",67.7,Q1,8.76,6.71%
Foundations and Trends in Machine Learning,FOUND TRENDS MACH LE,NOW PUBLISHERS INC,1935-8237,1935-8245,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",ESCI,"3,740",65.3,Q1,6.3,0%
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,AMER MEDICAL ASSOC,0098-7484,1538-3598,"MEDICINE, GENERAL & INTERNAL",SCIE,"189,853",63.1,Q1,11.75,1.23%
World Psychiatry,WORLD PSYCHIATRY,WILEY,1723-8617,2051-5545,PSYCHIATRY,"SCIE, SSCI","12,036",60.5,Q1,10.18,1.61%
