Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
DRUGS,DRUGS,ADIS INT LTD,0012-6667,1179-1950,TOXICOLOGY,SCIE,"19,942",13,Q1,2.99,29.44%
Annual Review of Pharmacology and Toxicology,ANNU REV PHARMACOL,ANNUAL REVIEWS,0362-1642,1545-4304,TOXICOLOGY,SCIE,"8,212",11.2,Q1,2.12,33.66%
ENVIRONMENTAL HEALTH PERSPECTIVES,ENVIRON HEALTH PERSP,US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE,0091-6765,1552-9924,TOXICOLOGY,SCIE,"39,172",10.1,Q1,2.41,88.74%
Environmental Chemistry and Ecotoxicology,ENVIRON CHEM ECOTOX,KEAI PUBLISHING LTD,N/A,2590-1826,TOXICOLOGY,ESCI,711,9,Q1,1.67,100%
Particle and Fibre Toxicology,PART FIBRE TOXICOL,BMC,1743-8977,1743-8977,TOXICOLOGY,SCIE,"5,436",7.2,Q1,2.18,100%
Journal of Xenobiotics,J XENOBIOTICS,MDPI,2039-4705,2039-4713,TOXICOLOGY,ESCI,395,6.8,Q1,1.29,100%
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,MUTAT RES-REV MUTAT,ELSEVIER,1383-5742,1388-2139,TOXICOLOGY,SCIE,"3,694",6.4,Q1,0.92,30.59%
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,J TOXICOL ENV HEAL B,TAYLOR & FRANCIS INC,1093-7404,1521-6950,TOXICOLOGY,SCIE,"2,281",6.4,Q1,0.78,34.09%
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,ECOTOX ENVIRON SAFE,ACADEMIC PRESS INC ELSEVIER SCIENCE,0147-6513,1090-2414,TOXICOLOGY,SCIE,"61,521",6.2,Q1,1.47,97.17%
Current Opinion in Toxicology,CURR OPIN TOXICOL,ELSEVIER,2468-2020,2468-2020,TOXICOLOGY,ESCI,"1,497",6.1,Q1,1.44,37.76%
