Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
Annual Review of Animal Biosciences,ANNU REV ANIM BIOSCI,ANNUAL REVIEWS,2165-8102,2165-8110,VETERINARY SCIENCES,SCIE,"1,987",8.7,Q1,4.63,32.76%
VETERINARY QUARTERLY,VET QUART,TAYLOR & FRANCIS LTD,0165-2176,1875-5941,VETERINARY SCIENCES,SCIE,"1,735",7.9,Q1,2.24,97.65%
Animal Nutrition,ANIM NUTR,KEAI PUBLISHING LTD,2405-6383,2405-6545,VETERINARY SCIENCES,SCIE,"4,353",6.1,Q1,2.61,92.40%
LAB ANIMAL,LAB ANIMAL,NATURE PORTFOLIO,0093-7355,1548-4475,VETERINARY SCIENCES,SCIE,"1,448",5.9,Q1,1.36,21.57%
Animal Microbiome,ANIM MICROBIOME,BMC,N/A,2524-4671,VETERINARY SCIENCES,ESCI,"1,119",4.9,Q1,1.72,100%
ANIMAL HEALTH RESEARCH REVIEWS,ANIM HEALTH RES REV,CAMBRIDGE UNIV PRESS,1466-2523,1475-2654,VETERINARY SCIENCES,SCIE,"1,407",4.3,Q1,0.64,46.67%
FISH & SHELLFISH IMMUNOLOGY,FISH SHELLFISH IMMUN,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,1050-4648,1095-9947,VETERINARY SCIENCES,SCIE,"30,250",4.1,Q1,1.57,7.24%
Animal,ANIMAL,ELSEVIER,1751-7311,1751-732X,VETERINARY SCIENCES,SCIE,"12,899",4,Q1,1.7,97.46%
PAKISTAN VETERINARY JOURNAL,PAK VET J,"UNIV AGRICULTURE, FAC VETERINARY SCIENCE",0253-8318,2074-7764,VETERINARY SCIENCES,SCIE,"1,991",3.8,Q1,1.46,47.65%
VETERINARY RESEARCH,VET RES,BMC,0928-4249,1297-9716,VETERINARY SCIENCES,SCIE,"6,653",3.7,Q1,1.9,99.21%
Transboundary and Emerging Diseases,TRANSBOUND EMERG DIS,WILEY-HINDAWI,1865-1674,1865-1682,VETERINARY SCIENCES,SCIE,"9,498",3.5,Q1,1.36,81.65%
ILAR JOURNAL,ILAR J,OXFORD UNIV PRESS,1084-2020,1930-6180,VETERINARY SCIENCES,SCIE,"2,239",3.1,Q1,0.55,30.77%
Porcine Health Management,PORCINE HEALTH MANAG,BMC,N/A,2055-5660,VETERINARY SCIENCES,SCIE,"1,022",3,Q1,1.4,100%
Food and Waterborne Parasitology,FOOD WATERB PARASIT,ELSEVIER,2405-6766,2405-6766,VETERINARY SCIENCES,ESCI,594,2.9,Q1,1.21,91.36%
International Journal of Veterinary Science and Medicine,INT J VET SCI MED,TAYLOR & FRANCIS LTD,2314-4580,2314-4599,VETERINARY SCIENCES,ESCI,507,2.8,Q1,1.07,96.77%
Animals,ANIMALS-BASEL,MDPI,2076-2615,2076-2615,VETERINARY SCIENCES,SCIE,"36,989",2.7,Q1,1.33,99.54%
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,DEV COMP IMMUNOL,ELSEVIER SCI LTD,0145-305X,1879-0089,VETERINARY SCIENCES,SCIE,"10,378",2.7,Q1,1.14,12.65%
IRISH VETERINARY JOURNAL,IRISH VET J,BMC,0368-0762,2046-0481,VETERINARY SCIENCES,SCIE,805,2.7,Q1,1.08,100%
MEDICAL MYCOLOGY,MED MYCOL,OXFORD UNIV PRESS,1369-3786,1460-2709,VETERINARY SCIENCES,SCIE,"5,964",2.7,Q1,0.93,9.72%
JOURNAL OF ANIMAL SCIENCE AND TECHNOLOGY,J ANIM SCI TECHNOL,KOREAN SOCIETY ANIMAL SCIENCE & TECHNOLOGY,2672-0191,2055-0391,VETERINARY SCIENCES,SCIE,"1,466",2.7,Q1,0.86,95.53%
