Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
Annual Review of Animal Biosciences,ANNU REV ANIM BIOSCI,ANNUAL REVIEWS,2165-8102,2165-8110,ZOOLOGY,SCIE,"1,987",8.7,Q1,4.63,32.76%
WILDLIFE MONOGRAPHS,WILDLIFE MONOGR,WILEY,0084-0173,1938-5455,ZOOLOGY,SCIE,676,4.3,Q1,1.95,28.57%
MAMMAL REVIEW,MAMMAL REV,WILEY,0305-1838,1365-2907,ZOOLOGY,SCIE,"2,853",4.3,Q1,1.06,36.17%
ZOOLOGICAL RESEARCH,ZOOL RES,SCIENCE PRESS,2095-8137,2095-8137,ZOOLOGY,SCIE,"2,141",4,Q1,2.36,99.28%
CLADISTICS,CLADISTICS,WILEY,0748-3007,1096-0031,ZOOLOGY,SCIE,"3,694",3.9,Q1,1.68,23.08%
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,COMP BIOCHEM PHYS C,ELSEVIER SCIENCE INC,1532-0456,1878-1659,ZOOLOGY,SCIE,"8,368",3.9,Q1,1.32,10.24%
JOURNAL OF INVERTEBRATE PATHOLOGY,J INVERTEBR PATHOL,ACADEMIC PRESS INC ELSEVIER SCIENCE,0022-2011,1096-0805,ZOOLOGY,SCIE,"7,486",3.6,Q1,1.85,26.15%
Integrative Zoology,INTEGR ZOOL,WILEY,1749-4877,1749-4869,ZOOLOGY,SCIE,"1,989",3.5,Q1,1.67,23.18%
JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,WILEY,0021-8790,1365-2656,ZOOLOGY,SCIE,"18,314",3.5,Q1,1.65,37.81%
ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,ZOOL J LINN SOC-LOND,OXFORD UNIV PRESS,0024-4082,1096-3642,ZOOLOGY,SCIE,"6,290",3,Q1,1.76,16.18%
JOURNAL OF THERMAL BIOLOGY,J THERM BIOL,PERGAMON-ELSEVIER SCIENCE LTD,0306-4565,1879-0992,ZOOLOGY,SCIE,"7,839",2.9,Q1,1.2,17.16%
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,DEV COMP IMMUNOL,ELSEVIER SCI LTD,0145-305X,1879-0089,ZOOLOGY,SCIE,"10,378",2.7,Q1,1.14,12.65%
Frontiers in Zoology,FRONT ZOOL,BMC,1742-9994,1742-9994,ZOOLOGY,SCIE,"2,741",2.6,Q1,1.46,100%
BEHAVIORAL ECOLOGY,BEHAV ECOL,OXFORD UNIV PRESS INC,1045-2249,1465-7279,ZOOLOGY,SCIE,"9,326",2.5,Q1,0.94,26.65%
Animal Cells and Systems,ANIM CELLS SYST,TAYLOR & FRANCIS LTD,1976-8354,2151-2485,ZOOLOGY,SCIE,756,2.5,Q1,0.93,95.31%
Vertebrate Zoology,VERTEBR ZOOL,STAATLICHES MUSEUM TIERKUNDE DRESDEN,1864-5755,N/A,ZOOLOGY,SCIE,517,2.4,Q1,1.35,96.30%
ANIMAL BEHAVIOUR,ANIM BEHAV,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0003-3472,1095-8282,ZOOLOGY,SCIE,"23,405",2.3,Q1,1.14,41.14%
ZOOLOGICA SCRIPTA,ZOOL SCR,WILEY,0300-3256,1463-6409,ZOOLOGY,SCIE,"2,404",2.3,Q1,1.06,21.13%
JOURNAL OF COMPARATIVE NEUROLOGY,J COMP NEUROL,WILEY,0021-9967,1096-9861,ZOOLOGY,SCIE,"23,034",2.3,Q1,1.01,29.97%
INTEGRATIVE AND COMPARATIVE BIOLOGY,INTEGR COMP BIOL,OXFORD UNIV PRESS INC,1540-7063,1557-7023,ZOOLOGY,SCIE,"6,709",2.2,Q1,1.51,20.23%
EXPERIMENTAL ANIMALS,EXP ANIM TOKYO,INT PRESS EDITING CENTRE INC,1341-1357,1881-7122,ZOOLOGY,SCIE,"1,577",2.2,Q1,0.99,97.74%
Integrative Organismal Biology,INTEGR ORGANISM BIOL,OXFORD UNIV PRESS,N/A,2517-4843,ZOOLOGY,SCIE,462,2.2,Q1,0.79,94.74%
CONTRIBUTIONS TO ZOOLOGY,CONTRIB ZOOL,BRILL,1383-4517,1875-9866,ZOOLOGY,SCIE,557,2.1,Q1,1.3,92.68%
GENERAL AND COMPARATIVE ENDOCRINOLOGY,GEN COMP ENDOCR,ACADEMIC PRESS INC ELSEVIER SCIENCE,0016-6480,1095-6840,ZOOLOGY,SCIE,"10,510",2.1,Q1,1,22.09%
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,COMP BIOCHEM PHYS A,ELSEVIER SCIENCE INC,1095-6433,1531-4332,ZOOLOGY,SCIE,"10,009",2.1,Q1,0.91,30.27%
BRAIN BEHAVIOR AND EVOLUTION,BRAIN BEHAV EVOLUT,KARGER,0006-8977,1421-9743,ZOOLOGY,SCIE,"2,009",2.1,Q1,0.63,32.89%
AMERICAN JOURNAL OF PRIMATOLOGY,AM J PRIMATOL,WILEY,0275-2565,1098-2345,ZOOLOGY,SCIE,"5,276",2,Q1,1.12,24.91%
MARINE MAMMAL SCIENCE,MAR MAMMAL SCI,WILEY,0824-0469,1748-7692,ZOOLOGY,SCIE,"4,145",2,Q1,0.9,24.29%
Neotropical Ichthyology,NEOTROP ICHTHYOL,SOC BRASILEIRA ICTIOLOGIA,1679-6225,N/A,ZOOLOGY,SCIE,"1,805",2,Q1,0.82,87.43%
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,J ZOOL SYST EVOL RES,WILEY-HINDAWI,0947-5745,1439-0469,ZOOLOGY,SCIE,"1,422",2,Q1,0.78,55.12%
INTERNATIONAL JOURNAL OF PRIMATOLOGY,INT J PRIMATOL,SPRINGER,0164-0291,1573-8604,ZOOLOGY,SCIE,"3,314",1.9,Q1,1.24,35.20%
Journal of Experimental Zoology Part A-Ecological and Integrative Physiology,J EXP ZOOL PART A,WILEY,2471-5638,2471-5646,ZOOLOGY,SCIE,"2,083",1.9,Q1,1.16,15.95%
MAMMALIAN BIOLOGY,MAMM BIOL,SPRINGER HEIDELBERG,1616-5047,1618-1476,ZOOLOGY,SCIE,"2,415",1.9,Q1,1.11,32.26%
ANIMAL COGNITION,ANIM COGN,SPRINGER HEIDELBERG,1435-9448,1435-9456,ZOOLOGY,SCIE,"3,745",1.9,Q1,1,41.34%
JOURNAL OF ZOOLOGY,J ZOOL,WILEY,0952-8369,1469-7998,ZOOLOGY,SCIE,"8,440",1.9,Q1,0.96,35.66%
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,BEHAV ECOL SOCIOBIOL,SPRINGER,0340-5443,1432-0762,ZOOLOGY,SCIE,"11,464",1.9,Q1,0.89,37.88%
JOURNAL OF WILDLIFE MANAGEMENT,J WILDLIFE MANAGE,WILEY,0022-541X,1937-2817,ZOOLOGY,SCIE,"10,536",1.9,Q1,0.87,31.37%
ORGANISMS DIVERSITY & EVOLUTION,ORG DIVERS EVOL,SPRINGER HEIDELBERG,1439-6092,1618-1077,ZOOLOGY,SCIE,"1,481",1.9,Q1,0.84,27.92%
