Name,Category,X2023.JIF,Group,Notes
(Hymenoptera Formicidae)] Studii Cere Biol (Ser Zool),NA,NA,NA,
A.F.A. Watchbird,NA,NA,NA,
AAZPA Regional Conference Proceedings,NA,NA,NA,
Abhandlungen der Delattinia,NA,NA,NA,
Abhandlungen der Zoologisch-Botanischen Gesellschaft in Oesterreich,NA,NA,NA,
Abhandlungen Naturwissenschaftlichen Verein zu Bremen,NA,NA,NA,
Abhandlungen und Berichte des Naturkundemuseums Goerlitz,NA,NA,NA,
Abhandlungen und Berichte des Naturkundlichen Museums Mauritianum Altenberg,NA,NA,NA,
ACIAR Monograph Series,NA,NA,NA,
Acrocephalus (Ljubljana),NA,NA,NA,
Acta Ac German,NA,NA,NA,
Acta Agriculturae Universitatis Pekinensis,NA,NA,NA,
Acta Amazonica,ECOLOGY,0.7,Ecology,
Acta Arachnologica,NA,NA,NA,
Acta biol paran,NA,NA,NA,
Acta Biologica Benrodis,NA,NA,NA,
Acta Biologica Colombiana,ZOOLOGY,0.5,Zoology,
Acta Biologica Paranaense,NA,NA,NA,
Acta Biologica Universitatis Daugavpiliensis,NA,NA,NA,
Acta Biologica Venezuelica,NA,NA,NA,
Acta Cientifica Venezolana,NA,NA,NA,
Acta Ecologica Sinica,ECOLOGY,4.7,Ecology,
Acta Entomologica Chilena,NA,NA,NA,
Acta Entomologica Sinica,NA,NA,NA,
Acta Entomologica Slovenica,NA,NA,NA,
Acta Ethologica,ZOOLOGY,1.1,Zoology,
Acta Facultatis Rerum Naturalium Universitatis Comenianae Zoologia,NA,NA,NA,
Acta Granatense,NA,NA,NA,
Acta Herpetologica Sinica,NA,NA,NA,
Acta Histochemica,CELL BIOLOGY,2.3,Other_bio,"From journal website: ""Acta Histochemica is a classic scientific journal established in 1954 currently focused on basic research and methodological innovations in cell and tissue biology. The aim of the journal is to promote the peer-reviewed publication of original articles and short communications reporting novel results and experimental approaches in the field, as well as comprehensive reviews, letters to the editor and meeting reports, serving as an open forum for the cell and histochemical research community. Manuscripts analysing the mechanisms of functional regulation of living systems at a cell/tissue level, in physiological or pathological conditions, or reporting new techniques and methodological approaches to quantify/visualize cellular activities are particularly welcomed."""
Acta Manilana,NA,NA,NA,
Acta Neurobiologiae Experimentalis (Warsaw),NEUROSCIENCES,1.4,Cognition,
Acta Oecologica,ECOLOGY,1.3,Ecology,
Acta Ornithoecologica,NA,NA,NA,
Acta Ornithologica (Warsaw),ORNITHOLOGY,0.8,Taxon,
Acta Ornithologica Lituanica,NA,NA,NA,
Acta Phytophylacica Sinica,NA,NA,NA,
Acta Scientiarum,NA,NA,NA,
Acta Scientiarum Agronomy,AGRONOMY,1.2,Applied,
Acta Scientiarum Biological Sciences,NA,NA,NA,
Acta Theriologica Sinica,NA,NA,NA,
Acta Universitatis Agriculturae Facultas Agronomica (Brno),NA,NA,NA,
Acta Universitatis Carolinae Biologica,NA,NA,NA,
Acta Universitatis Carolinae-Biologica,NA,NA,NA,
Acta Zoologica Academiae Scientiarum Hungaricae,ZOOLOGY,0.6,Zoology,
Acta Zoologica Bulgarica,ZOOLOGY,0.4,Zoology,
Acta Zoologica Cracoviensia,NA,NA,NA,
Acta Zoologica Cracoviensia Ser A-Vertebrata,NA,NA,NA,
Acta Zoologica Fennica,NA,NA,NA,
Acta Zoologica Hungarica,NA,NA,NA,
Acta Zoologica Lilloana,NA,NA,NA,
Acta Zoologica Lituanica,NA,NA,NA,
Acta Zoologica Mexicana Nueva Serie,NA,NA,NA,
Acta Zoologica Sinica,NA,NA,NA,
Acta Zoologica Universitatis Comenianae,NA,NA,NA,
Actes des Colloques Insectes Sociaux,NA,NA,NA,
Actes du Museum de Rouen,NA,NA,NA,
Adaptive Behavior,"SOCIAL SCIENCES, INTERDISCIPLINARY",1.2,Cognition,Second category is experimental psychology
Advances in Bioresearch,NA,NA,NA,
Advances in Ecological Sciences,NA,NA,NA,
Advances in Environmental Biology,NA,NA,NA,
Advances in Experimental Medicine and Biology,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",3.65,Applied,
Advances in Insect Physiology,ENTOMOLOGY - SCIE,3.6,Taxon,
Advances in Parasitology,PARASITOLOGY - SCIE,3.125,Other_bio,
Advances in the Study of Behavior,BEHAVIORAL SCIENCES - SCIE,4.091,Cognition,"From journal website for 1997: ""Advances in the Study of Behavior continues to serve scientists across a wide spectrum of disciplines. Focusing on new theories and research developments with respect to behavioral ecology, evolutionary biology, and comparative psychology, these volumes foster cooperation and communication in these diverse fields."". Elsevier classifies under neuroscience. https://shop.elsevier.com/books/advances-in-the-study-of-behavior/slater/978-0-12-004526-6"
Africa Birds & Birding,NA,NA,NA,
African Journal of Ecology,ECOLOGY,1.1,Ecology,
African Primates,NA,NA,NA,
African Wildlife,NA,NA,NA,
African Zoology,ZOOLOGY,0.6,Zoology,
Africana,NA,NA,NA,
Agricultural Research Journal of Kerala,NA,NA,NA,
Agriculture and Forestry,NA,NA,NA,
Agriculture Ecosystems & Environment,ECOLOGY,6,Applied,
Akitu Kyoto,NA,NA,NA,
Alauda,NA,NA,NA,
Alauda Paris,NA,NA,NA,
Alberta Naturalist,NA,NA,NA,
Aldrovandia,NA,NA,NA,
Allattani Kozlemenyek,NA,NA,NA,
Alpine Entomology,ENTOMOLOGY,0.4,Taxon,
Alula (Roma),NA,NA,NA,
Alytes (Paris),NA,NA,NA,
Amazonas,NA,NA,NA,
Amazoniana,NA,NA,NA,
American Anthropologist,ANTHROPOLOGY,2.6,Anthro,
American Birds,NA,NA,NA,
American Entomologist,NA,NA,NA,
American Journal of Biological Anthropology,ANTHROPOLOGY,1.7,Anthro,
American Journal of Botany,PLANT SCIENCES,2.4,Other_bio,
American Journal of Physical Anthropology,ANTHROPOLOGY,2.6,Anthro,
American Journal of Physiology,PHYSIOLOGY - SCIE,3.077,Other_bio,
American Journal of Primatology,ZOOLOGY,2,Taxon,
American Midland Naturalist,ECOLOGY - SCIE,0.6,Ecology,"From journal website: ""The American Midland Naturalist was established in 1909. The journal covered a diverse set of biological disciplines (animal sciences, plant sciences, ecology) as they pertain to North America. The American Midland Naturalist ceased publication in 2023."""
American Museum Novitates,ZOOLOGY,1.1,Zoology,
American Naturalist,ECOLOGY,2.4,Ecology,
American Scientist,MULTIDISCPLINARY SCIENCES,0.5,General,No second cat. 
American Zoo and Aquarium Association Regional Conference Proceedings,NA,NA,NA,
American Zoologist,ZOOLOGY - SCIE,1.991,Zoology,
Amphibia-Reptilia,ZOOLOGY,1,Taxon,
Anais da Academia Brasileira de Ciencias,MULTIDISCPLINARY SCIENCES,1.1,General,No second cat. 
Anais da Sociedade Entomologica do Brasil,NA,NA,NA,
Analele Stiintifice ale Universitatii Al. I. Cuza din Iasi Sectiunea Biologie Animala,NA,NA,NA,
Analele Stiintifice de Universitatii Al I Cuza,NA,NA,NA,
Anales del Instituto de Biologia Mexico,NA,NA,NA,
Anales del Instituto de Ciencias del Mar y Limnologia Universidad Nacional Autonoma de Mexico,NA,NA,NA,
Anali za Istrske in Mediteranske Studije,NA,NA,NA,
Anatomical Record Part A Discoveries in Molecular Cellular and Evolutionary Biology,ANATOMY & MORPHOLOGY - SCIE,1.973,Other_bio,
Anatomical Record-Advances in Integrative Anatomy and Evolutionary Biology,ANATOMY & MORPHOLOGY,1.8,Other_bio,
Andrenidae Annls Abeille,NA,NA,NA,
Andrias,NA,NA,NA,
Anim. Behav.,ZOOLOGY,2.3,Zoology,
Animal Behav,ZOOLOGY,2.3,Zoology,
Animal Behaviour,ZOOLOGY,2.3,Zoology,
Animal Behaviour Monographs,NA,NA,NA,
Animal Biodiversity and Conservation,BIODIVERSITY CONSERVATION,1,Applied,
Animal Biology (Leiden),ZOOLOGY,1.4,Zoology,
Animal Cognition,ZOOLOGY,1.9,Cognition,
Animal Kingdom,NA,NA,NA,
Animal Learning & Behavior,"PSYCHOLOGY, EXPERIMENTAL - SSCI",2.059,Cognition,
Animal Welfare,ZOOLOGY,1.4,Applied,
Animals,VETERINARY SCIENCES,2.7,Applied,
Animals and Zoos,NA,NA,NA,
Annales de la Societe Entomologique de France,ENTOMOLOGY,1.2,Taxon,
Annales des Sciences Naturelles Paris Zoologie (11),NA,NA,NA,
Annales des Sciences Naturelles Zoologie et Biologie Animale,NA,NA,NA,
Annales Entomologici Fennici,NA,NA,NA,
Annales Soc ent Fr(NS),NA,NA,NA,
Annales Zoologici (Warsaw),ENTOMOLOGY,1.3,Taxon,
Annales Zoologici Fennici,ECOLOGY,0.9,Ecology,Second category is zoology
Annali della Facolta di Scienze Agrarie Torino,NA,NA,NA,
Annals & Magazine of Natural History Series 13,NA,NA,NA,
Annals of Agricultural Science (Cairo),"AGRICULTURE, MULTIDISCIPLINARY - ESCI",1.07,Applied,
Annals of Entomology (Dehra Dun),NA,NA,NA,
Annals of the Cape Provincial Museums Natural History,NA,NA,NA,
Annals of the Entomological Society of America,ENTOMOLOGY,3,Taxon,
Annals of the New York Academy of Sciences,MULTIDISCPLINARY SCIENCES,4.1,General,No second cat. 
Annals of the South African Museum,NA,NA,NA,
Annee Biologique,BIOLOGY - SCIE,0,General,JCR year 1997. No second cat.
Annotationes Zoologicae Japonenses,NA,NA,NA,
Annu Inst Biol Sarajevo,NA,NA,NA,
Annual Rep Pheasant Trust Norfolk Wildl Pk,NA,NA,NA,
Annual Report American Malacological Union Bulletin,NA,NA,NA,
Annual Review of Ecology and Systematics,ECOLOGY - SCIE,6.182,Ecology,
Annual Review of Ecology Evolution and Systematics,ECOLOGY,11.2,Ecology,
Annual Review of Entomology,ENTOMOLOGY,15,Taxon,
Annual Review of Psychology,PSYCHOLOGY,23.6,Cognition,
Anser,NA,NA,NA,
Antarctic Journal of the United States,NA,NA,NA,
Antarctic Research Series,NA,NA,NA,
Anthropological Science,EVOLUTIONARY BIOLOGY,1.9,Anthro,
Anthropologie (Paris),ANTHROPOLOGY,0.6,Anthro,
Anuari Ornitologic de les Balears,NA,NA,NA,
Anuario Ornitologico de Navarra,NA,NA,NA,
Anz Schadlingsk Pflanzenschutz,NA,NA,NA,
Anzeiger der Ornithologischen Gesellschaft in Bayern,NA,NA,NA,
Anzeiger orn Ges Bayern,NA,NA,NA,
Apidologie,ENTOMOLOGY,2.4,Taxon,
Applied Animal Behaviour Science,VETERINARY SCIENCES,2.2,Applied,
Applied Entomology and Zoology,ENTOMOLOGY,1.3,Applied,
Applied Soil Ecology,SOIL SCIENCE,4.8,Applied,
Aquaculture,FISHERIES,3.9,Applied,
Aquar Berlin,NA,NA,NA,
Aquarama,NA,NA,NA,
Aquarien Magazin,NA,NA,NA,
Aquarien Terrarien,NA,NA,NA,
Aquarien- und Terrarien-Zeitschrift,NA,NA,NA,
Aquarist and Pondkeeper,NA,NA,NA,
Aquaristik Fachmagazin,NA,NA,NA,
Aquaristik Fachmagazin & Aquarium Heute,NA,NA,NA,
Aquarium (Bornheim),NA,NA,NA,
Aquarium (Den Haag),NA,NA,NA,
Aquarium (Hilversum),NA,NA,NA,
Aquarium Mag,NA,NA,NA,
Aquariumwereld,NA,NA,NA,
Aquatic Conservation,NA,NA,NA,
Aquatic Mammals,ZOOLOGY,0.8,Taxon,
Aquatic Sciences,ENVIRONMENTAL SCIENCES,2,Other_bio,"From journal website: ""Aquatic Sciences: Research Across Boundaries is a comprehensive journal focused on research encompassing all aspects of aquatic systems."""
Aquatic Toxicology (Amsterdam),TOXICOLOGY,4.1,Applied,
Aquila,NA,NA,NA,
Aquilo (Ser Zool),NA,NA,NA,
Ararajuba,NA,NA,NA,
Archiv fuer Hydrobiologie,NA,NA,NA,
Archiv fuer Naturgeschichte,NA,NA,NA,
Archiv fuer Naturschutz und Landschaftsforschung,NA,NA,NA,
Archives de Zoologie Notes et Revue Paris,NA,NA,NA,
Archives Neerlandaises de Zoologie,NA,NA,NA,
Archivos de Medicina Veterinaria (Valdivia),VETERINARY SCIENCES - SCIE,0.391,Applied,
Arctic,"GEOGRAPHY, PHYSICAL",0.9,Other_bio,"From journal website: ""The journal Arctic is North America’s premier journal of northern research. Now in its seventh decade of continuous publication, Arctic is a peer-reviewed, primary research journal that publishes the results of scientific research from all areas of scholarship dealing with the Arctic and subarctic regions. Multidisciplinary in scope, Arctic comprises original scholarly papers in the physical, social, and biological sciences, humanities, and engineering. Also included are book reviews, commentaries, letters to the editor, and profiles of significant people, places, or events of northern interest. The journal is published quarterly and is available through membership in the Arctic Institute of North America."" Difficult as multidisciplinary but region specific. "
Ardea,ORNITHOLOGY,0.8,Taxon,
Ardea Leiden,NA,NA,NA,
Ardeola,ORNITHOLOGY - SCIE,0.807,Taxon,
Army Bird Watching Society Bulletin,NA,NA,NA,
Arn biol Nauka,NA,NA,NA,
Arquipelago Boletim da Universidade dos Acores Ciencias Biologicas e Marinhas,NA,NA,NA,
Arquivos de Biologia e Tecnologia (Curitiba),BIOLOGY - SCIE,0.091,General,"No second cat. From journal website: ""Disseminate the scientific production in the areas of Engineering, Biology and Technology, publishing original articles (online format), contributing for the advance of Science, Technology and innovation nationally and internationally."""
Arquivos do Museu Bocage Serie B Notas,NA,NA,NA,
Arquivos do Museu Nacional (Rio de Janeiro),NA,NA,NA,
Arthropod-Plant Interactions,ENTOMOLOGY,1.2,Taxon,
Artificial Life,"COMPUTER SCIENCE, THEORY & METHODS",1.6,Other_bio,
ASB (Association of Southeastern Biologists) Bulletin,NA,NA,NA,
ASB Bull,NA,NA,NA,
Asian Journal of Conservation Biology,NA,NA,NA,
Asian Journal of Experimental Biological Sciences,NA,NA,NA,
Asian Journal of Experimental Sciences,NA,NA,NA,
Asian Myrmecology,ENTOMOLOGY,1.3,Taxon,
Aspects of Applied Biology,NA,NA,NA,
Astarte,NA,NA,NA,
Atoll Research Bulletin,NA,NA,NA,
Atti Convegno Italiano di Ornitologia,NA,NA,NA,
Atti del Congresso Nazionale Italiano di Entomologia,NA,NA,NA,
Atti della Societa Italiana di Scienze Naturali e del Museo Civico di Storia Naturale di Milano,NA,NA,NA,
Atualidades Ornitologicas,NA,NA,NA,
Audubon Field Notes,NA,NA,NA,
Auk,ORNITHOLOGY - SCIE,2.8,Taxon,
Auk Lancaster Pa,ORNITHOLOGY - SCIE,2.8,Taxon,
Austral Ecology,ECOLOGY,1.6,Ecology,
Australian Archaeology,ANTHROPOLOGY,1.1,Anthro,
Australian Aviculture,NA,NA,NA,
Australian Bird Watcher,NA,NA,NA,
Australian Birdlife,NA,NA,NA,
Australian Birds,NA,NA,NA,
Australian Entomological Magazine,NA,NA,NA,
Australian Entomologist,NA,NA,NA,
Australian Field Ornithology,NA,NA,NA,
Australian J mar freshwat Res,NA,NA,NA,
Australian Journal of Entomology,ENTOMOLOGY - SCIE,1.109,Taxon,
Australian Journal of Marine and Freshwater Research,NA,NA,NA,
Australian Journal of Soil Research,SOIL SCIENCE - SCIE,3.443,Applied,
Australian Journal of Zoology,ZOOLOGY,1,Zoology,
Australian Journal of Zoology Supplementary Series,ZOOLOGY,1,Zoology,
Australian Mammalogy,ZOOLOGY,0.9,Taxon,
Australian National Parks and Wildlife Service Special Publication,NA,NA,NA,
Australian Wildlife Research,NA,NA,NA,
Australian Zoologist,NA,NA,NA,
Aves,NA,NA,NA,
Aves (Liege),NA,NA,NA,
Aves 6,NA,NA,NA,
Avian Biology Research,ORNITHOLOGY,0.5,Taxon,
Avian Conservation and Ecology,BIODIVERSITY CONSERVATION,1.4,Applied,
Avian Dis,VETERINARY SCIENCES,1.3,Applied,Short for avian diseases. Both applied and basic but favouring applied given title/main category.
Avian Research,ORNITHOLOGY,1.6,Taxon,
Avicultural Mag,NA,NA,NA,
Avicultural Magazine,NA,NA,NA,
Avifauna Ukrayiny,NA,NA,NA,
Avocetta,NA,NA,NA,
Babbler (Gaborone),NA,NA,NA,
Bangladesh Journal of Zoology,NA,NA,NA,
Banisteria,NA,NA,NA,
Basic and Applied Ecology,ECOLOGY,3,Applied,
Bd vi Zoologische Aufzeichnungen Emins und seine Briefe an Dr G Hartlaub bearbeitet von Prof Dr H Schubotz,NA,NA,NA,
Beagle,NA,NA,NA,
Bee World,AGRONOMY - SCIE,0.619,Applied,
Bee-Eater and ECWBS News,NA,NA,NA,
BeeScience,NA,NA,NA,
Behavior Genetics,GENETICS & HEREDITY,2.6,Cognition,"Second category is psychology, multidisciplinary"
Behavioral and Neural Biology,NA,NA,NA,
Behavioral Biol,NA,NA,NA,
Behavioral Biol.,NA,NA,NA,
BEHAVIORAL BIOLOGY,NA,NA,NA,
Behavioral Ecology,ECOLOGY,2.5,Ecology,"From journal website:""Behavioral Ecology is a broad-based journal covering studies on the whole range of behaving organisms and is dedicated to bringing together significant work on all aspects of the subject."""
Behavioral Ecology and Sociobiology,ECOLOGY,1.9,Ecology,"From journal website: ""Behavioral Ecology and Sociobiology publishes reviews, original contributions and commentaries dealing with quantitative empirical and theoretical studies in the analysis of animal behavior at the level of the individual, group, population, community, and species"""
Behaviour,ZOOLOGY,1.2,Zoology,
Behaviour Leiden,ZOOLOGY,1.2,Zoology,
Behavioural Processes,ZOOLOGY,1.3,Cognition,"Second category is psychology, biological"
Beitraege Biol Zentralbl Leipzig,NA,NA,NA,
Beitraege zur Entomologie,NA,NA,NA,
Beitraege zur Fortpflanzungsbiologie der Voegel,NA,NA,NA,
Beitraege zur Naturkunde Niedersachsens,NA,NA,NA,
Beitraege zur Vogelkunde,NA,NA,NA,
Belgian Journal of Zoology,ZOOLOGY,1.3,Zoology,
Bellbird,NA,NA,NA,
Bembix,NA,NA,NA,
Berkut,NA,NA,NA,
Berliner Ornithologischer Bericht,NA,NA,NA,
Bievre,NA,NA,NA,
Bioacoustics,ZOOLOGY,1.5,Zoology,
Biociencias,NA,NA,NA,
Biodiversidade Brasileira,NA,NA,NA,
Biodiversidade Pampeana,NA,NA,NA,
Biodiversitas,NA,NA,NA,
