Include,Publication.Type,Authors,Book.Authors,Group.Authors,Book.Group.Authors,Researcher.Ids,ORCIDs,Book.Editors,Author...Arabic,Grant.Principal.Investigator,Grant.Co.Principal.Investigator,Article.Title,Article.Title...SciELO,Article.Title...SciELO.1,Article.Title...Chinese,Article.Title...Russian,Patent.Number,Patent.Assignee,Source.Title...Arabic,Source.Title,Source.Title...Korean,Book.Series.Title,Book.Series.Subtitle,Volume,Issue,Special.Issue,Meeting.Abstract,Start.Page,End.Page,Article.Number,Version,Version.History,DOI,Book.DOI,License.Name,License.URI,License.Description,Early.Access.Date,Supplement,Document.Type,Publication.Date,Publication.Year,Abstract,Abstract...Foreign,Abstract...English.Transliteration,Abstract...Foreign.1,Abstract...Korean,Conference.Title,Conference.Date,Conference.Sponsor,Conference.Location,Times.Cited..WoS.Core,Times.Cited..CSCD,Times.Cited..RSCI,Times.Cited..ARCI,Times.Cited..BCI,Times.Cited..SCIELO,Times.Cited..All.Databases,X180.Day.Usage.Count,Since.2013.Usage.Count,ISSN,eISSN,ISBN,Grant.Number,No.of.References,Cited.References,Language,Advisor,Committee.Member,Copyright,Degree.Name,Institution.Address,Institution,Dissertation.and.Thesis.Subjects,Author.Keywords,Indexed.Date,UT..Unique.ID.,Pubmed.Id
1,J,WEN Chao; DU Cheng-Ju; SHEN Li-Ming; HE Yin-Hao; PAN Zi-Jian; LIANG Shi-Pin; WEN Xiu-Jun; WANG Cai,,NA,NA,,,,NA,NA,NA,Research Progress of Animal Tool Use Behavior.,NA,NA,NA,,NA,NA,NA,Chinese Journal of Zoology,NA,NA,NA,57,3,NA,NA,462,477,NA,NA,NA,,NA,NA,NA,NA,NA,,Article,2022,2022,"Tool use was once considered as unique ability for humans. However, in the past 50 years, tool use has been widely observed throughout the animal kingdom, and therefore is more common than previously thought. Tool use in animals usually has certain purposes, and most animals use tools to achieve short-term goals instead of long-term goals. The tool-use behaviors may be influenced by environmental, cognitive, and physiological factors, and individual differences in tool use may be observed. For some animals, the tool use is an innate behavior. However, for most higher vertebrates, tool use usually involves the trial-and-error learning. Through social learning, some tool-use behaviors can spread and evolve, thus being widely distributed in the population. Tool use is one of the central concepts in animal cognition. Researches in tool use would enhance",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0250-3263,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"South China Agr Univ, Coll Forestry & Landscape Architecture, Guangzhou, 510642, China",NA,NA,NA,28/10/2022,ZOOREC:ZOOR15811050389,NA
1,J,"Paquette, D.",,NA,NA,,,,NA,NA,NA,Discovery and learning tool-use for fishing honey by captive chimpanzees.,NA,NA,NA,,NA,NA,NA,Human Evolution,NA,NA,NA,7,3,NA,NA,17,30,NA,NA,NA,10.1007/BF02436257,NA,NA,NA,NA,NA,,Article,July-September 1992,1992,,NA,NA,NA,NA,NA,NA,NA,NA,24,0,0,0,10,0,25,NA,NA,0393-9375,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,01/07/1992,ZOOREC:ZOOR13000006386,NA
1,J,"Brown, Culum",,NA,NA,"Brown, Culum/S-9826-2017","Brown, Culum/0000-0002-0210-1820",,NA,NA,NA,Tool use in fishes.,NA,NA,NA,,NA,NA,NA,Fish and Fisheries,NA,NA,NA,13,1,NA,NA,105,115,NA,NA,NA,,NA,NA,NA,NA,NA,,Article,Mar-12,2012,"Tool use was once considered the sole domain of humans. Over the last 40 years, however, it has become apparent that tool use may be widespread across the animal kingdom. Pioneering studies in primates have shaped the way we think about tool use in animals, but have also lead to a bias both in terms of our expectations about which animals should be capable of using tools and the working definition of tool use. Here I briefly examine tool use in terrestrial animals and consider the constraints of the current working definition of tool use in fishes. Fishes lack grasping limbs and operate underwater where there are clear constraints with respect to the physics of tool use that differ dramatically from the terrestrial environment. I then examine all of the documented accounts of tool use in fishes. The review reveals that tool use seems to be confined to a limited number of fish taxa, particularly the wrasse, which may show similarities with the greater than expected number of examples of tool use in primates and corvids amongst mammals and birds, respectively. As fish are seldom studied as intensely as birds and mammals, there is a clear need for further observation of tool use in fishes. It is likely that further examples will be unveiled allowing us to perform comparative analyses of the evolution of tool use in fish.",NA,NA,NA,NA,NA,NA,NA,NA,55,1,0,0,40,0,60,NA,NA,1467-2960,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"Department of Biological Sciences, Macquarie University, Sydney, NSW 2109, Australia",NA,NA,NA,28/06/2012,ZOOREC:ZOOR14807052177,NA
1,J,"Krueger, Konstanze; Trager, Laureen; Farmer, Kate; Byrne, Richard",,NA,NA,,"Krueger, Konstanze/0000-0002-9120-680X; Farmer, Katharine/0000-0003-3376-5969; Byrne, Richard/0000-0001-9862-9373",,NA,NA,NA,Tool Use in Horses.,NA,NA,NA,,NA,NA,NA,Animals,NA,NA,NA,12,15,NA,NA,1876,1876,NA,NA,NA,,NA,NA,NA,NA,NA,,Article,Aug-22,2022,"Simple Summary Tool use has not yet been confirmed in horses, mules or donkeys. As this subject is difficult to research with conventional methods, we used crowdsourcing to gather data. We asked equid owners and carers to report and video examples of unusual behaviour via a dedicated website, and we searched YouTube and Facebook for videos of equids showing tools. From 635 reports, including 1014 actions, we found 13 unambiguous cases of tool use. Tool use was associated with restricted management conditions in 12 of the 13 cases, and 8 of the 13 cases involved other equids or humans. The most frequent tool use, with seven examples, was for foraging, for example, equids using sticks to scrape hay into reach. There were four cases of tool use for social purposes, such as horses using brushes to groom others, just one case of tool use for escape, in which a horse threw a halter when it wished to be turned out, and one case of tool use for comfort, in which a horse scratched his abdomen with a stick. Equids therefore can develop tool use, especially when management conditions are restricted, but it is rare. Tool use has not yet been confirmed in horses, mules or donkeys. As this subject is difficult to research with conventional methods, we used a crowdsourcing approach to gather data. We contacted equid owners and carers and asked them to report and video examples of unusual behaviour via a dedicated website. We also searched YouTube and Facebook for videos of equids showing tool use. From 635 reports, including 1014 behaviours, we found 20 cases of tool use, 13 of which were unambiguous in that it was clear that the behaviour was not trained, caused by reduced welfare, incidental or accidental. We then assessed (a) the effect of management conditions on tool use and (b) whether the animals used tools alone, or socially, involving other equids or humans. We found that management restrictions were associated with corresponding tool use in 12 of the 13 cases (p = 0.01), e.g., equids using sticks to scrape hay within reach when feed was restricted. Furthermore, 8 of the 13 cases involved other equids or humans, such as horses using brushes to groom others. The most frequent tool use was for foraging, with seven examples, tool use for social purposes was seen in four cases, and there was just one case of tool use for escape. There was just one case of tool use for comfort, and in this instance, there were no management restrictions. Equids therefore can develop tool use, especially when management conditions are restricted, but it is a rare occurrence.",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,2076-2615,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"Univ Regensburg, Dept Zool Evolutionary Biol, Univ Str 31, Regensburg, D-93053, Germany",NA,NA,NA,31/03/2023,ZOOREC:ZOOR15904018522,35892526
1,J,"Tebbich, Sabine; Taborsky, Michael; Fessl, Birgit; Blomqvist, Donald",,NA,NA,"Taborsky, Michael/F-8420-2013","Taborsky, Michael/0000-0002-1357-4316; Fessl, Birgit/0000-0003-1260-6002",,NA,NA,NA,Do woodpecker finches acquire tool-use by social learning?,NA,NA,NA,,NA,NA,NA,Proceedings of the Royal Society Biological Sciences Series B,NA,NA,NA,268,1482,NA,NA,2189,2193,NA,NA,NA,10.1098/rspb.2001.1738,NA,NA,NA,NA,NA,,Article,07-Nov-01,2001,"Tool-use is widespread among animals, but except in primates the development of this behaviour is poorly known. Here, we report on the first experimental study to our knowledge of the mechanisms underlying the acquisition of tool-use in a bird species. The woodpecker finch Cactospiza pallida, endemic to the Galapagos Islands, is a famous textbook example of tool-use in animals. This species uses modified twigs or cactus spines to pry arthropods out of tree holes. Using nestlings and adult birds from the field, we tested experimentally whether woodpecker finches learn tool-use socially. We show that social learning is not essential for the development of tool-use: all juveniles developed tool-use regardless of whether or not they had a tool-using model. However, we found that not all adult woodpecker finches used tools in our experiments. These non-tool-using individuals also did not learn this task by observing tool-using conspecifics. Our results suggest that tool-use behaviour depends on a very specific learning disposition that involves trial-and-error learning during a sensitive phase early in ontogeny.",NA,NA,NA,NA,NA,NA,NA,NA,123,1,1,0,81,1,140,NA,NA,0962-8452,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"Konrad Lorenz Institute for Comparative Ethology, Savoyenstrasse 1a, A-1160, Vienna, Austria",NA,NA,NA,07/11/2001,ZOOREC:ZOOR13800011620,11674865
1,J,"Pryor, Kimberley J.",,NA,NA,,"Pryor, Kimberley/0000-0001-7514-6504",,NA,NA,NA,Frequent visits to various anvils during tool use by the graphic tuskfish Choerodon graphicus (Labridae).,NA,NA,NA,,NA,NA,NA,Journal of Fish Biology,NA,NA,NA,97,5,NA,NA,1564,1568,NA,NA,NA,,NA,NA,NA,NA,NA,,Article,Nov-20,2020,"This study investigated tool use by the graphic tuskfishChoerodon graphicusin New Caledonia. Anvils included rocks, a conical shell, flat dead corals and a concrete mooring. Sixteen tool-use events were observed in 10 h. A tool-use event often involved more than one anvil (44%). On average,C. graphicusstruck prey six times and spent 84 s at an anvil. The only prey items brought to anvils were bivalve and gastropod molluscs. These results provide a foundation for future research on tool use in fishes.",NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,3,0,5,NA,NA,0022-1112,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"POB 3168, Thornton, NSW, 2322, Australia",NA,NA,NA,22/12/2020,ZOOREC:ZOOR15701005460,32808281
1,J,"Mann, Janet; Patterson, Eric M.",,NA,NA,,,,NA,NA,NA,Tool use by aquatic animals.,NA,NA,NA,,NA,NA,NA,Royal Society Philosophical Transactions Biological Sciences,NA,NA,NA,368,1630,NA,NA,20120424,20120424,NA,NA,NA,,NA,NA,NA,NA,NA,,Article,Nov 19 2013,2013,"Tool-use research has focused primarily on land-based animals, with less consideration given to aquatic animals and the environmental challenges and conditions they face. Here, we review aquatic tool use and examine the contributing ecological, physiological, cognitive and social factors. Tool use among aquatic animals is rare but taxonomically diverse, occurring in fish, cephalopods, mammals, crabs, urchins and possibly gastropods. While additional research is required, the scarcity of tool use can likely be attributable to the characteristics of aquatic habitats, which are generally not conducive to tool use. Nonetheless, studying tool use by aquatic animals provides insights into the conditions that promote and inhibit tool-use behaviour across biomes. Like land-based tool users, aquatic animals tend to find tools on the substrate and use tools during foraging. However, unlike on land, tool users in water often use other animals (and their products) and water itself as a tool. Among sea otters and dolphins, the two aquatic tool users studied in greatest detail, some individuals specialize in tool use, which is vertically socially transmitted possibly because of their long dependency periods. In all, the contrasts between aquatic-and land-based tool users enlighten our understanding of the adaptive value of tool-use behaviour.",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0962-8436,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"Georgetown Univ, Dept Biol, Washington, DC, 20057, USA",NA,NA,NA,26/06/2014,ZOOREC:ZOOR15007034653,NA
1,J,"Galdikas, B.M.F.",,NA,NA,,,,NA,NA,NA,"Orang-utan tool use at Tanjung Puting Reserve, central Indonesian Borneo (Kalimantan Tengah).",NA,NA,NA,,NA,NA,NA,Journal of Human Evolution,NA,NA,NA,11,1,NA,NA,19,33,NA,NA,NA,10.1016/S0047-2484(82)80028-6,NA,NA,NA,NA,NA,,Article,1982,1982,,NA,NA,NA,NA,NA,NA,NA,NA,35,0,0,0,20,0,38,NA,NA,0047-2484,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,01/01/1982,ZOOREC:ZOOR11900057520,NA
1,J,"Stoinski, Tara S.; Beck, Benjamin B.",,NA,NA,,,,NA,NA,NA,"Spontaneous tool use in captive, free-ranging golden lion tamarins (Leontopithecus rosalia rosalia).",NA,NA,NA,,NA,NA,NA,Primates,NA,NA,NA,42,4,NA,NA,319,326,NA,NA,NA,10.1007/BF02629623,NA,NA,NA,NA,NA,,Article,Oct-01,2001,"Two types of tool use were observed in eight captive, free-ranging golden lion tamarins (Leontopithecus rosalia rosalia). All eight individuals used twigs and/or radio collar antennae to pry bark from trees and probe crevices, presumably for invertebrates. Three individuals used tools for grooming. In two animals, antennae were used as grooming tools while the third individual used a stick while grooming. The complexity of the free-ranging environment may have played a role in the expression of tool use behavior in these animals, as tool use has never been observed in captive tamarins living in traditional enclosures or wild tamarins. Social transmission may be one of the mechanisms responsible for the acquisition of tool use [-] six of the eight tool users resided in two social groups, and the only two individuals that used antennae as grooming tools were a bonded pair. These are the first published observations of tool use by golden lion tamarins or any callitrichid in a non-experimental setting and provide further data supporting the theory of a link between extractive foraging and tool use.",NA,NA,NA,NA,NA,NA,NA,NA,17,0,0,0,12,0,18,NA,NA,0032-8332,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"TECHlab, Zoo Atlanta, 800 Cherokee Avenue, Atlanta, GA, 30315, USA",NA,NA,NA,01/10/2001,ZOOREC:ZOOR13800028809,NA
1,J,"Braccini, Stephanie; Lambeth, Susan; Schapiro, Steve; Fitch, W. Tecumseh",,NA,NA,,"Schapiro, Steven J./0000-0001-5406-1739",,NA,NA,NA,Bipedal tool use strengthens chimpanzee hand preferences.,NA,NA,NA,,NA,NA,NA,Journal of Human Evolution,NA,NA,NA,58,3,NA,NA,234,241,NA,NA,NA,,NA,NA,NA,NA,NA,,Article,Mar-10,2010,"The degree to which non-human primate behavior is lateralized, at either individual or population levels, remains controversial. We investigated the relationship between hand preference and posture during tool use in chimpanzees (Pan troglodytes) during bipedal tool use. We experimentally induced tool use in a supported bipedal posture, an unsupported bipedal posture, and a seated posture. Neither bipedal tool use nor these supported conditions have been previously evaluated in apes. The hypotheses tested were 1) bipedal posture will increase the strength of hand preference, and 2) a bipedal stance, without the use of one hand for support, will elicit a right hand preference. Results supported the first, but not the second hypothesis: bipedalism induced the subjects to become more lateralized, but not in any particular direction. Instead, it appears that subtle pre-existing lateral biases, to either the right or left, were emphasized with increasing postural demands. This result has interesting implications for theories of the evolution of tool use and bipedalism, as the combination of bipedalism and tool use may have helped drive extreme lateralization in modern humans, but cannot alone account for the preponderance of right-handedness. (C) 2009 Elsevier Ltd. All rights reserved.",NA,NA,NA,NA,NA,NA,NA,NA,47,1,0,0,39,0,49,NA,NA,0047-2484,NA,,NA,NA,NA,NA,NA,NA,NA,NA,"Univ Vienna, Dept Cognit Biol, 14 Althanstr, Vienna, Austria",NA,NA,NA,01/03/2010,ZOOREC:ZOOR14608053446,20089294
