Include,Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id
0,J,"Arbon, Josh J.; Hahn, Luca G.; McIvor, Guillam E.; Thornton, Alex",,,,,"McIvor, Guillam/0000-0003-3922-7651; Arbon, Josh/0000-0002-8509-4362; Hahn, Luca G./0000-0002-5187-1039",,,,,Competition and generalization impede cultural formation in wild jackdaws.,,,,,,,,Proceedings of the Royal Society Biological Sciences Series B,,,,290,2004,,,20230705,20230705,,,,,,,,,,,Article,Aug 9 2023,2023,"Animal cultures have now been demonstrated experimentally in diverse taxa from flies to great apes. However, experiments commonly use tasks with unrestricted access to equal pay-offs and innovations seeded by demonstrators who are trained to exhibit strong preferences. Such conditions may not reflect those typically found in nature. For example, the learned preferences of natural innovators may be weaker, while competition for depleting resources can favour switching between strategies and generalizing from past experience. Here we show that in experiments where wild jackdaws (Corvus monedula) can freely discover depleting supplies of novel foods, generalization has a powerful effect on learning, allowing individuals to exploit multiple new opportunities through both social and individual learning. Further, in contrast to studies with trained demonstrators, individuals that were first to innovate showed weak preferences. As a consequence, many individuals ate all available novel foods, displaying no strong preference and no group-level culture emerged. Individuals followed a 'learn from adults' strategy, but other demographic factors played a minimal role in shaping social transmission. These results demonstrate the importance of generalization in allowing animals to exploit new opportunities and highlight how natural competitive dynamics may impede the formation of culture.",,,,,,,,,0,0,0,0,0,0,0,,,0962-8452,,,,,,,,,,,"Univ Exeter, Ctr Ecol & Conservat, Treliever Rd, Penryn, Cornwall, United Kingdom",,,,01/10/2023,ZOOREC:ZOOR15910082491,37554031
1,J,"Sarlin, Pathissery John; Morris, Sancia; Morris, Savio; Morris, Sandie; Joseph, Polycarp; Sherly, Darshitha",,,,"John, Sarlin/AAR-2599-2021","John, Sarlin/0000-0001-8604-5194",,,,,"First report of house crow Corvus splendens removing burning cotton wicks from oil lamps, extinguishing and eating.",,,,,,,,Avian Biology Research,,,,16,2,,,75,80,,,,,,,,,,,Article,May-23,2023,"Corvids have long impressed scientists with their flexibility in problem-solving and innovative tool use. Opportunistic observations of five wild house crows (Corvus splendens), a couple of them approaching burning oil lamps and delicately lifting the flaming wick and extinguishing it to consume the cotton wick are reported here. Although similar behaviour has been reported earlier in a few species, this is the first report of such an observation in house crows. Wild crows probably with no experience performing this fire manipulation, wary of nearby humans, could put the bird or its surroundings in jeopardy. Anecdotal reports of crows setting haystacks and thatched roofs ablaze are popular. The crow's manoeuvres on the burning lamp and the skilful manipulation of the burning wick without getting hurt are commendable and warrant further research. Studies on the nonhuman fire-handling capability could illuminate our understanding of the behaviour of our ancestral hominins towards the fire that led to their mastery over fire.",,,,,,,,,0,0,0,0,0,0,0,,,1758-1559; 1758-1567,,,,,,,,,,,"Inst Chem Technol, Mumbai, 400019, India",,,,29/07/2023,ZOOREC:ZOOR15908064050,
1,J,"Hunt, Gavin R.; Villard, Pascal",,,,,,,,,,Oscillatory extraction behaviour suggests functional attributes of crows' hooked-stick tools.,,,,,,,,Animal Cognition,,,,26,3,,,1091,1095,,,,,,,,,,,Article,Jun-23,2023,"New Caledonian crows are the only nonhuman animals known to craft hooked-sticks for use in foraging. Since their first description over 25 years ago, researchers have been unable to provide a detailed account of how these complex tools function in natural probe sites. Using close-up video footage, we document how a New Caledonian crow operated a hooked-stick to extract a large tree weta from a chamber in a tree trunk. The extraction technique had two distinct, separate components: (1) simultaneous oscillating head rotation and reciprocating bill action, and (2) measured pulling with the tool. Analysis of this first detailed field observation of hooked-stick use suggests a link between hooked-stick tool characteristics, functionality and skilled manipulation in natural prey extraction by these technological birds. Our findings also provide a rare, if not novel, example of tool-associated oscillatory manipulation in nonhuman animals.",,,,,,,,,0,0,0,0,0,0,0,,,1435-9448; 1435-9456,,,,,,,,,,,,,,,01/07/2023,ZOOREC:ZOOR15907053255,36720748
1,J,"Mack, Cyrielle; Uomini, Natalie",,,,"Uomini, Natalie T./A-7904-2012","Mack, Cyrielle/0000-0002-4190-1329",,,,,"Modulation of behavioural laterality in wild New Caledonian crows (Corvus moneduloides): Vocalization, age and function.",,,,,,,,Laterality,,,,27,4,,,379,405,,,,,,,,,,,Article,Jul 4 2022,2022,"The New Caledonian crow (Corvus moneduloides) is known for displaying a unique set of tool-related behaviours, with the bird's bill acting as an individually consistently lateralized effector. However, we still fail to understand how such laterality develops, is modulated or even if its expression is consistent across other behavioural categories. Creating the first ethogram for this species allowed us to examine laterality and vocalisations in a population of wild, free-flying New Caledonian crows using detailed analyses of close-up video footage. We revealed the existence of an overall strong left-sided bias during object manipulation only and which was driven by the adult crows of our focal population, the stabilization of individual preferences occurring during the birds' juvenile years. Individually, at least one crow showed consistent side biases to the right and left within different behavioural categories. Our findings highlight previously unknown variability in behavioural laterality in this species, thus advocating for further investigation. Specifically, we argue that a better understanding of the New Caledonian crow's biology and ecology is required if one wishes to pursue the promising comparative road that laterality could be connected to the evolution of tool-making.",,,,,,,,,0,0,0,0,0,0,0,,,1357-650X,,,,,,,,,,,"Max Planck Inst Evolutionary Anthropol, Deutsch Pl, Leipzig, D-04103, Germany",,,,30/04/2023,ZOOREC:ZOOR15905030398,35833319
1,J,"Jacobs, Ivo; von Bayern, Auguste M.P.; Osvath, Mathias",,,,"Jacobs, Ivo/I-3789-2019","Jacobs, Ivo/0000-0002-2182-7686",,,,,Tools and food on heat lamps: pyrocognitive sparks in New Caledonian crows?,,,,,,,,Behaviour,,,,159,6,,,591,602,,,,,,,,,,,Article,May-22,2022,"Fire has substantially altered the course of human evolution. Cooking kindled brain expansion through improved energy and time budgets. However, little is known about the origins of fire use and its cognitive underpinnings (pyrocognition). Debates on how hominins innovated cooking focus on archaeological findings, but should also be informed by the response of animals towards heat sources. Here, we report six observations on two captive New Caledonian crows (Corvus moneduloides) contacting heat lamps with tools or placing raw food on them. The tools became singed or melted and the food had browned (and was removed). These results suggest that New Caledonian crows can use tools to investigate hot objects, which extends earlier findings that they use tools to examine potential hazards (pericular tool use), and place food on a heat source as play or exploration. Further research on animals will provide novel insights into the pyrocognitive origins of early humans.",,,,,,,,,1,0,0,0,1,0,1,,,0005-7959,,,,,,,,,,,"Lund Univ, Dept Cognit Sci, Helgonavagen 3, Lund, S-22100, Sweden",,,,26/06/2022,ZOOREC:ZOOR15807030507,
1,J,"Boeckle, M.; Schiestl, M.; Frohnwieser, A.; Gruber, R.; Miller, R.; Suddendorf, T.; Gray, R.D.; Taylor, A.H.; Clayton, N.S.",,,,"Taylor, Alex/HSF-3308-2023; Boeckle, Markus/A-9968-2010; Suddendorf, Thomas/A-1631-2017; Gray, Russell D/H-2078-2015","Taylor, Alex/0000-0003-3492-7667; Boeckle, Markus/0000-0002-0738-2764; Frohnwieser, Anna/0000-0001-5219-4319; Miller (Harrison), Rachael/0000-0003-2996-9571; Suddendorf, Thomas/0000-0003-3328-7442; Clayton, Nicola/0000-0003-1835-423X; Gray, Russell D/0000-0002-9858-0191",,,,,New Caledonian crows' planning behaviour: a reply to de Mahy et al.,,,,,,,,Proceedings of the Royal Society Biological Sciences Series B,,,,288,1958,,,20211271,20211271,,,,,,,,,,,Article,Sep 8 2021,2021,,,,,,,,,,2,0,0,0,2,0,2,,,0962-8452,,,,,,,,,,,"Univ Cambridge, Dept Psychol, Cambridge, United Kingdom",,,,21/11/2021,ZOOREC:ZOOR15712088576,34465241
1,J,"de Mahy, Don; Esteve, N. Alex; Santariello, Andrea",,,,,,,,,,"New test, old problems: comment on 'New Caledonian crows plan for specific future tool use'.",,,,,,,,Proceedings of the Royal Society Biological Sciences Series B,,,,288,1958,,,20210186,20210186,,,,,,,,,,,Article,Sep 8 2021,2021,,,,,,,,,,1,0,0,0,1,0,1,,,0962-8452,,,,,,,,,,,"Univ Louisiana Lafayette, Dept Biol, Lafayette, LA, 70504, USA",,,,21/11/2021,ZOOREC:ZOOR15712088582,34465238
1,J,"Steele, Matthew P.; Neaves, Linda E.; Klump, Barbara C.; St Clair, James J.H.; Fernandes, Joana R.S.M.; Hequet, Vanessa; Shaw, Phil; Hollingsworth, Peter M.; Rutz, Christian",,,,"Klump, Barbara/JFB-1860-2023; Neaves, Linda/AAY-6886-2020; St Clair, James J H/H-4946-2011","Neaves, Linda/0000-0002-5626-1029; Shaw, Philip/0000-0002-8183-0289; Hollingsworth, Peter/0000-0003-0602-0654; Rutz, Christian/0000-0001-5187-7417; St Clair, James/0000-0003-2902-4391; Fernandes, Joana/0000-0003-2902-8210; Klump, Barbara/0000-0003-3919-452X; Hequet, Vanessa/0000-0003-3794-6089; Steele, Matthew/0000-0003-1360-4762",,,,,DNA barcoding identifies cryptic animal tool materials.,,,,,,,,Proceedings of the National Academy of Sciences of the United States of America,,,,118,29,,,e2020699118,e2020699118,,,,,,,,,,,Article,Jul 20 2021,2021,"Some animals fashion tools or constructions out of plant materials to aid foraging, reproduction, self-maintenance, or protection. Their choice of raw materials can affect the structure and properties of the resulting artifacts, with considerable fitness consequences. Documenting animals' material preferences is challenging, however, as manufacture behavior is often difficult to observe directly, and materials may be processed so heavily that they lack identifying features. Here, we use DNA barcoding to identify, from just a few recovered tool specimens, the plant species New Caledonian crows (Corvus moneduloides) use for crafting elaborate hooked stick tools in one of our long-term study populations. The method succeeded where extensive fieldwork using an array of conventional approaches-including targeted observations, camera traps, radio-tracking, bird-mounted video cameras, and behavioral experiments with wild and temporarily captive subjects-had failed. We believe that DNA barcoding will prove useful for investigating many other tool and construction behaviors, helping to unlock significant research potential across a wide range of study systems.",,,,,,,,,2,1,0,0,3,0,3,,,0027-8424,,,,,,,,,,,"Univ St Andrews, Sch Biol, St Andrews, Fife, KY16 9TH, United Kingdom",,,,21/11/2021,ZOOREC:ZOOR15712088081,34253607
1,J,"Dussex, Nicolas; Kutschera, Verena E.; Wiberg, R. Axel W.; Parker, Darren J.; Hunt, Gavin R.; Gray, Russell D.; Rutherford, Kim; Abe, Hideaki; Fleischer, Robert C.; Ritchie, Michael G.; Rutz, Christian; Wolf, Jochen B.W.; Gemmell, Neil J.",,,,"Wolf, Jochen B. W./U-2243-2017; Kutschera, Verena E./H-8706-2013; Gemmell, Neil J/C-6774-2009; Ritchie, Michael G/F-7055-2013; Dussex, Nicolas/Q-9947-2017; Gray, Russell D/H-2078-2015; Rutherford, Kim/Y-7995-2018","Wolf, Jochen B. W./0000-0002-2958-5183; Kutschera, Verena E./0000-0002-8930-534X; Ritchie, Michael G/0000-0001-7913-8675; Dussex, Nicolas/0000-0002-9179-8593; Wiberg, R. Axel W./0000-0002-8074-8670; Gray, Russell D/0000-0002-9858-0191; Parker, Darren James/0000-0003-4027-7779; Rutherford, Kim/0000-0001-6277-726X; Rutz, Christian/0000-0001-5187-7417",,,,,A genome-wide investigation of adaptive signatures in protein-coding genes related to tool behaviour in New Caledonian and Hawaiian crows.,,,,,,,,Molecular Ecology,,,,30,4,,,973,986,,,,,,,,,,,Article,Feb-21,2021,"Very few animals habitually manufacture and use tools. It has been suggested that advanced tool behaviour co-evolves with a suite of behavioural, morphological and life history traits. In fact, there are indications for such an adaptive complex in tool-using crows (genus Corvus species). Here, we sequenced the genomes of two habitually tool-using and ten non-tool-using crow species to search for genomic signatures associated with a tool-using lifestyle. Using comparative genomic and population genetic approaches, we screened for signals of selection in protein-coding genes in the tool-using New Caledonian and Hawaiian crows. While we detected signals of recent selection in New Caledonian crows near genes associated with bill morphology, our data indicate that genetic changes in these two lineages are surprisingly subtle, with little evidence at present for convergence. We explore the biological explanations for these findings, such as the relative roles of gene regulation and protein-coding changes, as well as the possibility that statistical power to detect selection in recently diverged lineages may have been insufficient. Our study contributes to a growing body of literature aiming to decipher the genetic basis of recently evolved complex behaviour.",,,,,,,,,2,0,0,0,1,0,2,,,0962-1083,,,,,,,,,,,"Swedish Museum Nat Hist, Dept Bioinformat & Genet, Svante Arrhenius Vag 20C, Stockholm, SE-10691, Sweden",,,,27/03/2021,ZOOREC:ZOOR15704027249,33305388
1,J,"Boeckle, M.; Schiestl, M.; Frohnwieser, A.; Gruber, R.; Miller, R.; Suddendorf, T.; Gray, R.D.; Taylor, A.H.; Clayton, N.S.",,,,"Taylor, Alex/HSF-3308-2023; Boeckle, Markus/A-9968-2010; Gray, Russell D/H-2078-2015; Suddendorf, Thomas/A-1631-2017","Taylor, Alex/0000-0003-3492-7667; Boeckle, Markus/0000-0002-0738-2764; Miller (Harrison), Rachael/0000-0003-2996-9571; Clayton, Nicola/0000-0003-1835-423X; Frohnwieser, Anna/0000-0001-5219-4319; Gray, Russell D/0000-0002-9858-0191; Gruber, Romana/0000-0002-7313-7396; Suddendorf, Thomas/0000-0003-3328-7442",,,,,New Caledonian crows plan for specific future tool use.,,,,,,,,Proceedings of the Royal Society Biological Sciences Series B,,,,287,1938,,,20201490,20201490,,,,,,,,,,,Article,Nov 11 2020,2020,"The ability to plan for future events is one of the defining features of human intelligence. Whether non-human animals can plan for specific future situations remains contentious: despite a sustained research effort over the last two decades, there is still no consensus on this question. Here, we show that New Caledonian crows can use tools to plan for specific future events. Crows learned a temporal sequence where they were (a) shown a baited apparatus, (b) 5 min later given a choice of five objects and (c) 10 min later given access to the apparatus. At test, these crows were presented with one of two tool-apparatus combinations. For each combination, the crows chose the right tool for the right future task, while ignoring previously useful tools and a low-value food item. This study establishes that planning for specific future tool use can evolve via convergent evolution, given that corvids and humans shared a common ancestor over 300 million years ago, and offers a route to mapping the planning capacities of animals.",,,,,,,,,26,0,0,0,11,0,28,,,0962-8452,,,,,,,,,,,"Univ Cambridge, Dept Psychol, Cambridge, United Kingdom",,,,25/01/2021,ZOOREC:ZOOR15702007983,33143583
