Include,Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id
1,J,"Lukas, Kristen E.; Stoinski, Tara S.; Burks, Kyle; Snyder, Rebecca; Bexell, Sarah; Maple, Terry L",,,,,"Maple, Terry/0000-0002-0113-3062",,,,,Nest building in captive Gorilla gorilla gorilla.,,,,,,,,International Journal of Primatology,,,,24,1,,,103,124,,,,10.1023/A:1021450613272,,,,,,,Article,Feb-03,2003,,,,,,,,,,20,0,0,0,15,0,23,,,0164-0291,,,,,,,,,,,"Curator of Conservation and Science, Cleveland Metroparks Zoo, 3900 Wildlife Way, Cleveland, Ohio 44109, USA",,,,01/02/2003,ZOOREC:ZOOR13900027990,
1,B,,,,,,,"Goodall, J. M.Buettner-Janusch. J.",,,,Nest building behavior in free ranging chimpanzee.,,,,,,,,Ann. N.Y. Acad. Sci.,,,,,,,,455,467,,,,,,,,,,,Book chapter,1963,1963,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,01/01/1963,ZOOREC:ZOOR10000013692,
1,J,"Sabater Pi, Jordi; Vea, Joaquim J.",,,,,,,,,,Nest-building and population estimates of the bonobo from the Lokofe-Lilungu-Ikomaloki region of Zaire.,,,,,,,,Primate Conservation,,,,11,,,,43,48,,,,,,,,,,,Article,Dec-90,1990,,,,,,,,,,3,0,0,0,0,0,3,,,0898-6207,,,,,,,,,,,,,,,01/12/1990,ZOOREC:ZOOR13100047548,
1,J,"Lethmate, J.",,,,,,,,,,"Nestbauverhalten eines isoliert aufgezogenen, jungen OrangUtans.",,,,,,,,Primates,,,,18,3,,,545,"554,illust.",,,,10.1007/BF02383132,,,,,,,Article,1977,1977,,,,,,,,,,4,0,0,0,2,0,5,,,,,,,,,,,,,,,,,,01/01/1977,ZOOREC:ZOOR11400045228,
1,B,"Fruth, Barbara; Hohmann, Gottfried",,,,,,"McGrew, William C.; Marchant, Linda F.; Nishida, Toshisada",,,,Nest building behavior in the great apes: the great leap forward?,,,,,,,,Great ape societies.,,,,,,,,225,240,,,,10.1017/CBO9780511752414.019,,,,,,,Book chapter; Meeting paper,1996,1996,,,,,,,,,,103,0,0,0,69,0,113,,,,,0-521-55536-1,,,,,,,,,"Max-Planck-Institut fur Verhaltensphysiologie, Seewiesen, D-82319, Starnberg, Germany",,,,01/01/1996,ZOOREC:ZOOR13400004830,
1,B,"Prasetyo, Didik; Ancrenaz, Marc; Morrogh-Bernard, Helen C.; Utami Atmoko, S. Suci; Wich, Serge A.; van Schaik, Carel P.",,,,,"utami, sri/0000-0002-5138-242X; Wich, Serge/0000-0003-3954-5174; Prasetyo, Didik/0000-0001-5486-2624","Wich, Serge A.; Utami Atmoko, S. Suci; Mitra Setia, Tatang; van Schaik, Carel P.",,,,Nest building in orangutans.,,,,,,,,Orangutans: geographic variation in behavioral ecology and conservation. [Oxford Biology.],,,,,,,,269,277,,,,,,,,,,,Book chapter,2009,2009,,,,,,,,,,25,0,0,0,21,0,30,,,,,978-0-19-921327-6,,,,,,,,,"Fakultas Biologi, Universitas Nasional, Blok IV Lantai 3, Jln Sawo Manila, Pasar Minggu, Jakarta Selatan 12520, Indonesia",,,,01/01/2009,ZOOREC:ZOOR14506039877,
1,J,"Russon, Anne E.; Handayani, Dwi Putri; Kuncoro, Purwo; Ferisa, Agnes",,,,,,,,,,Orangutan leaf-carrying for nest-building: Toward unraveling cultural processes.,,,,,,,,Animal Cognition,,,,10,2,,,189,202,,,,10.1007/s10071-006-0058-z,,,,,,,Article,Apr-07,2007,"We report an empirical study on leaf-carrying, a newly discovered nest-building technique that involves collecting nest materials before reaching the nest site. We assessed whether leaf-carrying by rehabilitant orangutans on Kaja Island, Central Kalimantan, owes to cultural influences. Findings derive from ca 600 h observational data on nesting skills and nesting associations in Kaja's 42 resident rehabilitants, which yielded 355 nests and 125 leaf-carrying cases by 34 rehabilitants. Regional contrasts with 14 other communities (7 rehabilitant, 7 wild) indicated cultural influences on leaf-carrying on Kaja. Association data showed exceptional social learning opportunities for leaf-carrying on Kaja, with residents taking differential advantage of these opportunities as a function of development, experience, and social position. Juvenile males with basic nesting skills were most influenced by social input. Most (27) leaf-carriers had probably learned leaf-carrying when caged and 7 probably learned it on Kaja. Social priming was probably the main impetus to leaf-carrying on Kaja, by simply prompting observers to copy when leaf-carrying associates collected nesting materials, what they collected, and where they used their collected materials. Implications concern acquisition processes and ontogenetic schedules that orchestrate sets of features-needs or interests, cognitive abilities, social preferences-which enable cultural transmission.",,,,,,,,,22,0,0,0,20,0,26,,,1435-9448,,,,,,,,,,,"York Univ, Glendon Coll, 2275 Bayview Ave, Toronto, ON M4N 3M6, Canada",,,,01/04/2007,ZOOREC:ZOOR14309057650,17160669
1,B,"Fruth, Barbara; Hohmann, Gottfried","Wrangham, Richard W.; McGrew, W.C.; de Waal, Frans B.M.; Heltne, Paul G.",,,,,,,,,Comparative analyses of nest building behavior in bonobos and chimpanzees.,,,,,,,,Chimpanzee cultures.,,,,,,,,109,128,,,,,,,,,,,Book chapter,1994,1994,,,,,,,,,,47,0,0,0,28,0,50,,,,,674116623,,,,,,,,,,,,,01/01/1994,ZOOREC:ZOOR13100056251,
1,J,"Willie, Jacob; Tagg, Nikki; Petre, Charles-Albert; Pereboom, Zjef; Lens, Luc",,,,"Pereboom, Jeffrey/L-1098-2018","Pereboom, Jeffrey/0000-0001-6904-3226; Lens, Luc/0000-0002-0241-2215",,,,,Plant selection for nest building by western lowland gorillas in Cameroon.,,,,,,,,Primates,,,,55,1,,,41,49,,,,,,,,,,,Article,Jan-14,2014,"We examined 834 nests built by western lowland gorillas in Cameroon between July 2008 and July 2011 to identify the plant species used in their construction. Preference for each plant species for nesting was assessed using a 'preference index' calculated by combining information on the occurrence of each species in the forest and in the nests. Forty-six plant species representing about 15 % of the total number of species in the forest and 26 % of species used for nest building were frequently used by gorillas. Preference levels significantly varied among these species. Nests were mostly built with herbs of the families Marantaceae and Zingiberaceae and woody species such as Manniophyton fulvum (liana) and Alchornea floribunda (shrub). As observed in other gorilla populations, suitability for nest building and availability of gorilla food in stems were the likely determinants of plant selection. The total number of species used per nest ranged from 1 to 11, with an average of 4.9. This is high compared to other sites, emphasizing variability in the availability of nest building materials and habitat differences across the range of the western gorilla. Seasonal changes in the use of different habitat types for nesting did not appear to influence plant use for nest building as there was little variation in plant selection across seasons or the composition of nests. Our findings suggest that gorillas non-randomly select plant species to build nests, and use a particular set of species combined at varying proportions, with no clear seasonal or spatial patterns.",,,,,,,,,24,0,0,0,22,0,28,,,0032-8332,,,,,,,,,,,"Univ Ghent, Terr Ecol Unit, KL Ledeganckstr 35, Ghent, B-9000, Belgium",,,,06/03/2014,ZOOREC:ZOOR15003014972,23732768
1,J,"Stewart, Fiona A.; Pruetz, Jill D.",,,,,"Stewart, Fiona A./0000-0002-4929-4711",,,,,Sex Bias and Social Influences on Savanna Chimpanzee (Pan troglodytes verus) Nest Building Behavior.,,,,,,,,International Journal of Primatology,,,,41,6,,,849,869,,,,,,,,,,,Article,Dec-20,2020,"Many Primates show sex differences in behavior, particularly social behavior, but also tool use for extractive foraging. All great apes learn to build a supportive structure for sleep. Whether sex differences exist in building, as in extractive foraging, is unknown, and little is known about how building skills develop and vary between individuals in the wild. We therefore aimed to describe the nesting behavior of savanna chimpanzees (Pan troglodytes verus) in Fongoli, Senegal to provide comparative data and to investigate possible sex or age differences in nest building behaviors and nest characteristics. We followed chimpanzee groups to their night nesting sites to record group (55 nights) and individual level data (17 individuals) on nest building initiation and duration (57 nests) during the dry season between October 2007 and March 2008. We returned the following morning to record nest and tree characteristics (71 nests built by 25 individuals). Fongoli chimpanzees nested later than reported for other great apes, but no sex differences in initiating building emerged. Observations were limited but suggest adult females and immature males to nest higher, in larger trees than adult males, and adult females to take longer to build than either adult or immature males. Smaller females and immature males may avoid predation or access thinner, malleable branches, by nesting higher than adult males. These differences suggest that sex differences described for chimpanzee tool use may extend to nest building, with females investing more time and effort in constructing a safe, warm structure for sleep than males do.",,,,,,,,,8,0,0,0,3,0,8,,,0164-0291,,,,,,,,,,,"Liverpool John Moores Univ, Fac Sci, Liverpool, Merseyside, United Kingdom",,,,26/02/2021,ZOOREC:ZOOR15703018746,
