Include,Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id
1,J,"Paquette, D.",,,,,,,,,,Discovery and learning tool-use for fishing honey by captive chimpanzees.,,,,,,,,Human Evolution,,,,7,3,,,17,30,,,,10.1007/BF02436257,,,,,,,Article,July-September 1992,1992,,,,,,,,,,24,0,0,0,10,0,25,,,0393-9375,,,,,,,,,,,,,,,01/07/1992,ZOOREC:ZOOR13000006386,
1,J,"Galdikas, B.M.F.",,,,,,,,,,"Orang-utan tool use at Tanjung Puting Reserve, central Indonesian Borneo (Kalimantan Tengah).",,,,,,,,Journal of Human Evolution,,,,11,1,,,19,33,,,,10.1016/S0047-2484(82)80028-6,,,,,,,Article,1982,1982,,,,,,,,,,35,0,0,0,20,0,38,,,0047-2484,,,,,,,,,,,,,,,01/01/1982,ZOOREC:ZOOR11900057520,
1,J,"Braccini, Stephanie; Lambeth, Susan; Schapiro, Steve; Fitch, W. Tecumseh",,,,,"Schapiro, Steven J./0000-0001-5406-1739",,,,,Bipedal tool use strengthens chimpanzee hand preferences.,,,,,,,,Journal of Human Evolution,,,,58,3,,,234,241,,,,,,,,,,,Article,Mar-10,2010,"The degree to which non-human primate behavior is lateralized, at either individual or population levels, remains controversial. We investigated the relationship between hand preference and posture during tool use in chimpanzees (Pan troglodytes) during bipedal tool use. We experimentally induced tool use in a supported bipedal posture, an unsupported bipedal posture, and a seated posture. Neither bipedal tool use nor these supported conditions have been previously evaluated in apes. The hypotheses tested were 1) bipedal posture will increase the strength of hand preference, and 2) a bipedal stance, without the use of one hand for support, will elicit a right hand preference. Results supported the first, but not the second hypothesis: bipedalism induced the subjects to become more lateralized, but not in any particular direction. Instead, it appears that subtle pre-existing lateral biases, to either the right or left, were emphasized with increasing postural demands. This result has interesting implications for theories of the evolution of tool use and bipedalism, as the combination of bipedalism and tool use may have helped drive extreme lateralization in modern humans, but cannot alone account for the preponderance of right-handedness. (C) 2009 Elsevier Ltd. All rights reserved.",,,,,,,,,47,1,0,0,39,0,49,,,0047-2484,,,,,,,,,,,"Univ Vienna, Dept Cognit Biol, 14 Althanstr, Vienna, Austria",,,,01/03/2010,ZOOREC:ZOOR14608053446,20089294
1,J,"McGrew, W.C.",,,,,,,,,,Evolutionary implications of sex differences in chimpanzee predation and tool use.,,,,,,,,Perspectives on Human Evolution,,,,5,,,,441,463,,,,,,,,,,,Article,1979,1979,,,,,,,,,,27,1,0,0,15,0,27,,,0090-0745,,,,,,,,,,,,,,,01/01/1979,ZOOREC:ZOOR12100050424,
1,J,"Grueter, Cyril C.; Robbins, Martha M.; Ndagijimana, Felix; Stoinski, Tara S.",,,,"Grueter, Cyril C./H-9319-2014","Grueter, Cyril C./0000-0001-8770-8148",,,,,Possible tool use in a mountain gorilla.,,,,,,,,Behavioural Processes,,,,100,,,,160,162,,,,,,,,,,,Article,Nov-13,2013,"Here we report a description of putative tool use in wild mountain gorillas. At the Dian Fossey Gorilla Fund's Karisoke Research Center in Volcanoes National Park (Rwanda), an adult female was observed using a bamboo culm as a ladder for her offspring. This is one of only a few documented cases of possible tool use in wild gorillas, although tool use behavior is commonly observed in captive gorillas. Although the behavior observed may have been incidental, the present report in combination with previous evidence (Breuer et al., 2005) suggests that tool use in gorillas occurs outside the context of food acquisition and may be directed at overcoming physical obstacles in complex rugged microhabitats such as bamboo forest and swamps. (C) 2013 Elsevier B.V. All rights reserved.",,,,,,,,,10,0,1,0,11,0,13,,,0376-6357,,,,,,,,,,,"Univ Western Australia, Sch Anat Physiol & Human Biol, Crawley, WA, 6009, Australia",,,,08/05/2014,ZOOREC:ZOOR15005024743,24096185
1,J,"Fox, ElizaBeth A.; Muhammad, Ibrahim bin",,,,,,,,,,Brief communication: new tool use by wild sumatran orangutans (Pongo pygmaeus abelii).,,,,,,,,American Journal of Physical Anthropology,,,,119,2,,,186,188,,,,10.1002/ajpa.10105,,,,,,,Article,Oct-02,2002,,,,,,,,,,18,0,0,0,14,0,21,,,0002-9483,,,,,,,,,,,"Ecology and Evolutionary Biology, Guyot Hall, Princeton University, Princeton, NJ 08544, USA",,,,01/10/2002,ZOOREC:ZOOR13900032458,12237938
1,J,"Oxley, Aimee; Jovan, Balinda Kiiza",,,,,,,,,,Stick tool use by chimpanzees in a forest fragment in Uganda's Budongo-Bugoma corridor: preliminary observations from Kasongoire.,,,,,,,,Revue de Primatologie,,,,,,,,6426,6426,,,,,,,,,,,Article,2019,2019,"Chimpanzees are well-known tool users, with differences reported in the tool use repertoires among communities and subspecies. Chimpanzees at most study sites exhibit some degree of stick tool use behaviour for extractive foraging, with the exception of eastern chimpanzees (Pan troglodytes schweinfurthii) inhabiting Budongo Forest in western Uganda. Chimpanzees there have never been observed using stick tools despite being studied for decades, although, more recently, probing and digging tool use has been documented in neighbouring forest fragments. Here, I report preliminary observations of immature chimpanzees using stick tools as probes in a foraging context in Kasongoire, a newly studied community in the unprotected forest fragments outside Budongo Forest. The behaviour appears to be rare and insect prey seems not to have been actually ingested, but the observations provide further evidence of probing stick tool use by chimpanzees only 15 km from the main forest block. Differences in tool use have been previously reported between neighbouring communities of chimpanzees. Considering the complete absence of stick tool use in Budongo Forest, the increasing evidence that it is present in such close geographical proximity poses questions about the transfer of cultural knowledge between individuals and communities.",,,,,,,,,0,0,0,0,0,0,0,,,2077-3757,,,,,,,,,,,"Oxford Brookes Univ, Dept Humanities & Social Sci, Oxford, United Kingdom",,,,01/01/2019,ZOOREC:ZOOR15712083920,
1,J,"Sept, Jeanne M.; Brooks, George E.",,,,,,,,,,"Reports of chimpanzee natural history, including tool use, in 16th- and 17th-century Sierra Leone.",,,,,,,,International Journal of Primatology,,,,15,6,,,867,878,,,,10.1007/BF02736073,,,,,,,Article,Dec-94,1994,,,,,,,,,,14,0,0,0,5,0,15,,,0164-0291,,,,,,,,,,,,,,,01/12/1994,ZOOREC:ZOOR13100046449,
1,B,"Sugiyama, Yukimaru",,,,,,"Berthelet, A.; Chavaillon, J.",,,,Local variation of tools and tool use among wild chimpanzee populations.,,,,,,,,The use of tools by human and nonhuman primates.,,,,,,,,175,190,,,,,,,,,,,Book chapter; Meeting paper,1993,1993,,,,,,,,,,33,0,0,0,9,0,35,,,,,0-19-852263-0,,,,,,,,,"Primate Research Institute, Kyoto University, Inuyama 484, Japan",,,,01/01/1993,ZOOREC:ZOOR13400020890,
1,J,"Dutton, Paul; Chapman, Hazel",,,,,"Chapman, Hazel/0000-0001-8509-703X",,,,,"New tools suggest local variation in tool use by a montane community of the rare Nigeria-Cameroon chimpanzee, Pan troglodytes ellioti, in Nigeria.",,,,,,,,Primates,,,,56,1,,,89,100,,,,,,,,,,,Article,Jan-15,2015,"Regional variations in tool use among chimpanzee subspecies and between populations within the same subspecies can often be explained by ecological constraints, although cultural variation also occurs. In this study we provide data on tool use by a small, recently isolated population of the endangered Nigeria-Cameroon chimpanzee Pan troglodytes ellioti, thus demonstrating regional variation in tool use in this rarely studied subspecies. We found that the Ngel Nyaki chimpanzee community has its own unique tool kit consisting of five different tool types. We describe a tool type that has rarely been observed (ant-digging stick) and a tool type that has never been recorded for this chimpanzee subspecies or in West Central Africa (food pound/grate stone). Our results suggest that there is fine- scale variation in tool use among geographically close communities of P. t. ellioti, and that these variations likely reflect both ecological constraints and cultural variation.",,,,,,,,,7,0,0,0,6,0,8,,,0032-8332,,,,,,,,,,,"Univ Canterbury, Sch Biol Sci, Private Bag 4800, Christchurch, 8140, New Zealand",,,,30/04/2015,ZOOREC:ZOOR15105029742,25312510
