Include,Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id
1,J,"Hiemstra, Auke-Florian; Moeliker, Cornelis W.; Gravendeel, Barbara; Schilthuizen, Menno",,,,,,,,,,Bird nests made from anti-bird spikes.,,,,,,,,Deinsea,,,,21,,,,17,25,,,,,,,,,,,Article,Jul 11 2023,2023,"The use of man-made, even sharp materials for nest building in birds is well known. The first report of a crow's nest made of barbed wire dates back to 1933, and recent (news) reports document the use of e.g. nails, screws, and drug users' syringes in avian architecture. Here we report the first well-documented study on nests of carrion crow Corvus corone and Eurasian magpie Pica pica that almost entirely consist of material that is meant to deter birds: anti-bird spikes. Carrion crows in Rotterdam (The Netherlands) and Eurasian magpies in Enschede (The Netherlands), Antwerp (Belgium), and Glasgow (Scotland) tear entire strips with sharp metal pins off buildings and use them as nesting material. Two anti-bird spike nests, now in the collections of Natural History Museum Rotterdam (crow) and Naturalis Biodiversity Center (magpie), were analyzed for composition and structure. Magpies may use the anti-bird spikes not just as ordinary nest material, but specific placement in the dome, overarching the nest, hints at functional use. The anti-bird spikes may be used by birds in the same way as they were intended to be used by humans: to ward off (other) birds. Crows, for example, are known to prey on magpie eggs and offspring and the specific choice of this sharp material could benefit nest defense, for which magpies may normally rely on thorny branches. Other magpie domes observed were constructed with barbed wire and knitting needles. In the Anthropocene, now that living biomass is outweighed by anthropogenic mass, alternative nesting materials are increasingly being adopted by urban birds. With birds even using bird deterring materials like anti-bird spikes as nesting material, anything may become part of a bird's nest.",,,,,,,,,0,0,0,0,0,0,0,,,0923-9308,,,,,,,,,,,"Nat Biodivers Ctr, Darwinweg 2, Leiden, NL-2333 CR, Netherlands",,,,26/08/2023,ZOOREC:ZOOR15909073650,
1,J,"Glushchenko, Y.N.",,,,,,,,,,The first case of nesting of the large-billed crow Corvus macrorhynchos in the central part of Ussuriysk city (Primorsky Krai).,,,,,,,,Russkii Ornitologicheskii Zhurnal Ekspress Vypusk,,,,32,2311,,,2577,2579,,,,,,,,,,,Article,2023,2023,,,,,,,,,,0,0,0,0,0,0,0,,,0869-4362,,,,,,,,,,,"Russian Acad Sci, Pacific Inst Geog, Vladivostok, Russia",,,,24/02/2024,ZOOREC:ZOOR16003015177,
1,J,"Masaki, S.H.I.R.A.I.; Momoyo, F.U.J.I.O.K.A.",,,,,,,,,,"Jungle crows (Corvus macrorhynchos) nest on powerline poles in Maebashi City, Gunma Prefecture, Japan.",,,,,,,,Bulletin of Gunma Museum of Natural History,,,,27,,,,153,156,,,,,,,,,,,Article,2023,2023,"Crows are known to cause power outages by nesting on powerline poles and towers. Although two species of crows(i.e., jungle (Corvus macrorhynchos) and carrion (C. corone) crows)breed in Japan, carrion crows were thought to be the only one that nests on powerline poles. In this study, we observed ten nesting sites on powerline poles in Maebashi City, Gunma Prefecture, and confirmed that at least five of the nine were nested by jungle crows. Observations of nest building revealed that a pair of jungle crows delivered nest material 3-115 times per day to the nest. Maebashi City is less forested than areas where carrion crows' nests on powerline poles have been recorded, suggesting that jungle crows may use artificial structures for nesting when natural nesting habitat is scarce.",,,,,,,,,0,0,0,0,0,0,0,,,1342-4092,,,,,,,,,,,"Cent Res Inst Elect Power Ind, Sustainable Syst Res Lab, 1646 Abiko, Abiko, Chiba, 2701194, Japan",,,,29/07/2023,ZOOREC:ZOOR15908060154,
0,J,"Pandian, M.",,,,,,,,,,"Nest colonies of Baya Weaver Ploceus philippinus (Linnaeus, 1766) on overhead power transmission cables in the agricultural landscape of Cuddalore and Villupuram districts (Tamil Nadu) and Puducherry, India.",,,,,,,,Journal of Threatened Taxa,,,,14,3,,,20721,20732,,,,,,,,,,,Article,Mar 26 2022,2022,"Nesting habits of Baya Weaver Ploceus philippinus with specific reference to overhead power transmission cables was studied between April and November 2021 in the agrarian landscape of 10 villages covering Cuddalore and Villupuram districts (Tamil Nadu), and Puducherry. A total of 408 nests of various stages (wad stage-35, ring stage-21, helmet stage-227, egg-chamber closed stage-49, complete nests-22, and abnormal nests-54) and 411 birds were enumerated on 25 nest colonies. The number of nests in each colony ranged from 1 to 82. Baya Weavers had selected power cables as nesting sites despite the availability of three nest-supporting trees (n= 2,255), such as Cocos nucifera, Borassus flabellifer, and Phoenix sylvestris within 500 m of nesting cables. Birds used leaves of sugarcane Saccharum officinarum, Indian Date Palm Phoenix sylvestris, and Narrow-leaf Cattail Typha angustifolia as a source of fibres for the construction of nests. Twenty-three out of 25 nest colonies were found on power cables running over sugarcane crops. Abnormal nests constituted 13.23% (n= 54) of the total nests and 92.91% (n= 223) helmet stage nests had clay deposits on the inner walls. A total of 285 fallen nests in various stages of development were scattered on the ground. There were opportunistic sightings of avian predators, such as House Crow Corvus splendens, Large-billed Crow Corvus macrorhynchos, Rufous Treepie Dendrocitta vagabunda, and Shikra Accipiter badius found on cables nests and caused to nests.",,,,,,,,,0,0,0,0,0,0,0,,,0974-7893; 0974-7907,,,,,,,,,,,,,,,27/05/2022,ZOOREC:ZOOR15806025047,
1,J,"Chalikova, E.S.",,,,,,,,,,The western jackdaw Corvus monedula in the Talas Alatau.,,,,Galka Corvus monedula v Talasskom Alatau.,,,,Russkii Ornitologicheskii Zhurnal Ekspress Vypusk,,,,31,2258,,,5479,5481,,,,,,,,,,,Article,2022,2022,,,,,,,,,,0,0,0,0,0,0,0,,,0869-4362,,,,,,,,,,,,,,,28/05/2023,ZOOREC:ZOOR15906041026,
1,J,"Solov'yov, A.N.",,,,,,,,,,Unusually early fledging in the hooded crow Corvus cornix in Kirov in 2021.,,,,Neobychno ranniy vylet ptentsov seroy vorony Corvus cornix v Kirove v 2021 godu.,,,,Russkii Ornitologicheskii Zhurnal Ekspress Vypusk,,,,31,2190,,,2341,2346,,,,,,,,,,,Article,2022,2022,,,,,,,,,,0,0,0,0,0,0,0,,,0869-4362,,,,,,,,,,,"All Russian Res Inst Hunting & Breeding, Preobrazhenskaya St 79, Kirov, 610020, Russia",,,,31/03/2023,ZOOREC:ZOOR15904021037,
1,J,"Zbyryt, Adam; Zub, Karol; Mitrus, Cezary",,,,"Zub, Karol/HJI-6049-2023; Mitrus, Cezary/JZU-0865-2024","Zub, Karol/0000-0001-7235-2206; Mitrus, Cezary/0000-0002-9864-5696",,,,,The development of the Rook's (Corvus frugilegus) colony in the face of shifting spring phenology.,,,,,,,,Avian Research,,,,13,,,,100029,100029,,,,,,,,,,,Article,2022,2022,"Many birds species breed in colonies. One of the species in the Corvidae family nesting in groups is the Rook (Corvus frugilegus). The construction of the nest is costly for birds and needs high energy expenditure. Therefore, birds should optimize the time of nest building in relation to environmental, especially weather, conditions. Furthermore, birds should adapt their breeding phenology, including the date of starting the construction of nests for climate change. We observed the dynamics of increasing numbers of nests in a colony of Rooks in relation to air temperature, wind, rainfall, snowfall and day-length (indirect indicator of photoperiodism). Observations were carried out during three breeding seasons (2015-2017) in a large rookery in a big city in north-eastern Poland. The increase in the number of nests was correlated only with day length and no effect of climatic factors on the number of nests in the colony was observed. Number of nests varied significantly between successive years of research. In the case of the Rook (predictable breeders), the photoperiod seems to be the most important factor influencing breeding behavior, especially nest construction. In the last three decades, increasing temperature and time of spring phases have advanced and have influenced changes in the phenology of the availability of food resources. Simultaneously, a rapid decline in the numbers of breeding pairs of the Rook in Poland has been observed, especially in the last three decades. Conservative attachment to the length of the day, which is the main factor responsible for the development of the breeding colony, makes the Rook appear to be a species with low plasticity in the face of rapid climate changes. Thus, we suggest that may indirectly influence the decrease in the breeding population of the Rook.",,,,,,,,,0,0,0,0,1,0,1,,,2053-7166,,,,,,,,,,,"Univ Bialystok, Doctoral Sch Exact & Nat Sci, Ciolkowskiego 1K, Bialystok, PL-15245, Poland",,,,26/06/2022,ZOOREC:ZOOR15807029050,
1,J,"Fujioka, Kento; Morimoto, Gen; Mikami, Katsura; Mikami, Osamu",,,,,,,,,,Do crows nest on utility poles near urban green areas?,,,,,,,,Japanese Journal of Ornithology,,,,70,2,,,153,159,,,,,,,,,,,Article,Oct-21,2021,"Crows sometimes nest on utility poles and their nests can cause electrical failures. In order to prevent such problems, electric power companies conduct patrols and remove nests. In this paper, using data provided by the Hakodate branch of Hokkaido Electric Power Co., Inc. (HHEPCO) for the number and distribution of crow nests removed from utility poles, we analyzed the relationship between crow nests on such poles and urban green areas. Crows were found to nest on utility poles far from urban green areas, indicating that allowing crows to nest in urban green areas may reduce the cost of removing crow nests from utility poles for electric power companies.",,,,,,,,,0,0,0,0,0,0,0,,,0913-400X,,,,,,,,,,,"Hokkaido Univ Educ, Hakodate Campus,1-2 Hachiman, Hakodate, Hokkaido, 0408567, Japan",,,,01/10/2021,ZOOREC:ZOOR15910080320,
1,J,"Steele, Matthew P.; Neaves, Linda E.; Klump, Barbara C.; St Clair, James J.H.; Fernandes, Joana R.S.M.; Hequet, Vanessa; Shaw, Phil; Hollingsworth, Peter M.; Rutz, Christian",,,,"Klump, Barbara/JFB-1860-2023; Neaves, Linda/AAY-6886-2020; St Clair, James J H/H-4946-2011","Neaves, Linda/0000-0002-5626-1029; Shaw, Philip/0000-0002-8183-0289; Hollingsworth, Peter/0000-0003-0602-0654; Rutz, Christian/0000-0001-5187-7417; St Clair, James/0000-0003-2902-4391; Fernandes, Joana/0000-0003-2902-8210; Klump, Barbara/0000-0003-3919-452X; Hequet, Vanessa/0000-0003-3794-6089; Steele, Matthew/0000-0003-1360-4762",,,,,DNA barcoding identifies cryptic animal tool materials.,,,,,,,,Proceedings of the National Academy of Sciences of the United States of America,,,,118,29,,,e2020699118,e2020699118,,,,,,,,,,,Article,Jul 20 2021,2021,"Some animals fashion tools or constructions out of plant materials to aid foraging, reproduction, self-maintenance, or protection. Their choice of raw materials can affect the structure and properties of the resulting artifacts, with considerable fitness consequences. Documenting animals' material preferences is challenging, however, as manufacture behavior is often difficult to observe directly, and materials may be processed so heavily that they lack identifying features. Here, we use DNA barcoding to identify, from just a few recovered tool specimens, the plant species New Caledonian crows (Corvus moneduloides) use for crafting elaborate hooked stick tools in one of our long-term study populations. The method succeeded where extensive fieldwork using an array of conventional approaches-including targeted observations, camera traps, radio-tracking, bird-mounted video cameras, and behavioral experiments with wild and temporarily captive subjects-had failed. We believe that DNA barcoding will prove useful for investigating many other tool and construction behaviors, helping to unlock significant research potential across a wide range of study systems.",,,,,,,,,2,1,0,0,3,0,3,,,0027-8424,,,,,,,,,,,"Univ St Andrews, Sch Biol, St Andrews, Fife, KY16 9TH, United Kingdom",,,,21/11/2021,ZOOREC:ZOOR15712088081,34253607
1,J,"Hahn, Luca G.; Hooper, Rebecca; McIvor, Guillam E.; Thornton, Alex",,,,,"Hahn, Luca G./0000-0002-5187-1039; Hooper, Rebecca (Beki)/0000-0003-1042-1688; McIvor, Guillam/0000-0003-3922-7651",,,,,Cooperative nest building in wild jackdaw pairs.,,,,,,,,Animal Behaviour,,,,178,,,,149,163,,,,,,,,,,,Article,Aug-21,2021,"Animals create diverse structures, both individually and cooperatively, using materials from their envi-ronment. One striking example is the nests birds build for reproduction, which protect the offspring from external stressors such as predators and temperature, promoting reproductive success. To construct a nest successfully, birds need to make various decisions, for example regarding the nest material and their time budgets. Research has focused mainly on species where one sex is primarily responsible for building the nest. In contrast, the cooperative strategies of monogamous species in which both sexes contribute to nest building are poorly understood. Here we investigated the role of both sexes in nest building and fitness correlates of behaviour in wild, monogamous jackdaw pairs, Corvus monedula. We show that both partners contributed to nest building and behaved similarly, with females and males present in the nestbox for a comparable duration and transporting material to the nest equally often. However, while females spent more time constructing the nest, males tended to invest more time in vigilance, potentially as a means of coping with competition for nest cavities. These findings suggest a moderate degree of division of labour, which may facilitate cooperation. Moreover, some aspects of behaviour were related to proxies of reproductive success (lay date and egg volume). Females that contributed relatively more to bringing material laid earlier clutches and pairs that spent less time together in the nestbox had larger eggs. Thus, selection pressures may act on how nest-building pairs spend their time and cooperatively divide the labour. We conclude that cooperative nest building in birds could be associated with monogamy and obligate biparental care and provides a vital but relatively untapped context through which to study the evolution of cooperation. [copyright] 2021 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",,,,,,,,,3,0,0,0,3,0,4,,,0003-3472; 1095-8282,,,,,,,,,,,"Univ Exeter, Ctr Ecol & Conservat, Penryn Campus, Penryn, Cornwall, United Kingdom",,,,25/09/2021,ZOOREC:ZOOR15710068327,
